genome	n_genes_called	n_genes_mapped	n_contigs	taxonomic_level	proportion_genes_retained_in_major_clades	genes_retained_index	clade_separation_score	contamination_portion	n_effective_surplus_clades	mean_hit_identity	reference_representation_score	pass.GUNC
ISLHD_2018_12_S101	4538	4448	92	kingdom	1.0	0.98	0.0	0.0	0.0	0.96	0.94	True
ISLHD_2018_13_S102	4484	4406	48	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.96	True
ISLHD_2018_14_S103	4464	4404	55	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.96	True
ISLHD_2018_15_S104	4630	4562	48	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
ISLHD_2018_16_S105	4645	4586	67	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
ISLHD_2018_17_S106	4335	4281	79	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.96	True
ISLHD_2018_1_S90	4693	4630	82	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
ISLHD_2018_2_S91	4624	4581	43	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
ISLHD_2018_3_S92	4621	4568	93	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
ISLHD_2018_4_S93	4501	4429	30	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.96	True
ISLHD_2018_5_S94	4440	4395	43	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
ISLHD_2018_6_S95	4435	4383	77	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
ISLHD_2018_7_S96	4600	4533	80	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.97	True
ISLHD_2018_8_S97	4368	4325	48	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
ISLHD_2018_9_S98	4751	4680	70	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.96	True
ISLHD_2019_01	4389	4302	42	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.96	True
ISLHD_2019_02	4864	4759	262	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.96	True
ISLHD_2019_03	4352	4304	39	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
ISLHD_2019_04	4412	4367	59	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
ISLHD_2019_05	4336	4282	44	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
ISLHD_2019_06	4603	4542	60	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.97	True
ISLHD_2019_07	4362	4309	32	kingdom	1.0	0.99	0.0	0.0	0.0	0.97	0.96	True
ISLHD_2019_08	4415	4374	33	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
ISLHD_2019_09	4593	4512	48	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.95	True
ISLHD_2019_10	4246	4205	33	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
ISLHD_2019_11	4329	4279	71	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
ISLHD_2019_12	4665	4570	59	kingdom	1.0	0.98	0.0	0.0	0.0	0.96	0.94	True
ISLHD_2019_13	4686	4585	50	kingdom	1.0	0.98	0.0	0.0	0.0	0.96	0.94	True
ISLHD_2019_14	4704	4630	64	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.96	True
ISLHD_2019_15	4647	4585	64	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
ISLHD_2019_16	4497	4422	79	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.95	True
ISLHD_2019_17	4622	4547	54	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.96	True
ISLHD_2019_18	4490	4438	37	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
ISLHD_2019_19	4213	4171	38	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
ISLHD_2019_20	4500	4436	48	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.96	True
ISLHD_2019_21	4579	4523	71	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
ISLHD_2019_22	4364	4300	27	kingdom	1.0	0.99	0.0	0.0	0.0	0.97	0.96	True
ISLHD_2019_23	4474	4412	49	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.96	True
ISLHD_2019_24	4642	4532	49	genus	0.92	0.9	0.82	0.03	0.07	0.98	0.88	False
ISLHD_2019_25	4647	4535	56	genus	0.92	0.89	0.83	0.03	0.07	0.98	0.88	False
ISLHD_2019_26	5701	5517	1300	kingdom	1.0	0.97	0.0	0.0	0.0	0.97	0.94	True
ISLHD_2019_27	4368	4331	30	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
ISLHD_2019_28	4784	4721	73	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
ISLHD_2019_29	4395	4350	37	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
ISLHD_2019_30	4408	4369	33	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
MD_6_A10	4201	4161	38	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
MD_6_A11	4612	4552	67	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.97	True
MD_6_A12	4586	4516	42	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.96	True
MD_6_A8	4609	4551	65	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
MD_6_A9	4616	4557	69	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
MD_6_B10	4670	4602	65	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
MD_6_B11	4613	4553	63	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
MD_6_B12	4788	4708	77	genus	0.94	0.92	0.8	0.02	0.05	0.99	0.91	False
MD_6_B8	4666	4599	66	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
MD_6_B9	4722	4646	73	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.96	True
MD_6_C10	4661	4593	61	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
MD_6_C11	4661	4603	75	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
MD_6_C12	4666	4597	62	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
MD_6_C8	4364	4326	43	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
MD_6_C9	4283	4232	31	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
MD_6_D10	4653	4584	55	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
MD_6_D11	4608	4551	62	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
MD_6_D12	4668	4567	53	kingdom	1.0	0.98	0.0	0.0	0.0	0.96	0.94	True
MD_6_D8	4661	4591	58	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.97	True
MD_6_D9	4345	4290	34	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.96	True
MD_6_E10	4318	4262	46	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
MD_6_E11	4661	4595	62	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
MD_6_E12	4418	4380	36	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
MD_6_E8	4417	4379	48	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
MD_6_E9	4587	4516	42	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.96	True
MD_6_F10	4657	4593	61	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
MD_6_F11	4449	4391	119	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.96	True
MD_6_F12	4349	4312	30	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
MD_6_F8	5256	5045	106	kingdom	1.0	0.96	0.0	0.0	0.0	0.94	0.9	True
MD_6_F9	4333	4281	72	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.96	True
MD_6_G10	4607	4550	64	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
MD_6_G11	4590	4457	40	kingdom	1.0	0.97	0.0	0.0	0.0	0.96	0.93	True
MD_6_G8	4614	4554	66	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
MD_6_G9	4606	4549	64	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
MD_6_H10	4784	4696	99	kingdom	1.0	0.98	0.0	0.0	0.0	0.96	0.95	True
MD_6_H11	4605	4544	62	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.97	True
MD_6_H7	4354	4318	38	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
MD_6_H8	4306	4252	43	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
MD_6_H9	4446	4376	48	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.96	True
MD_7_A1	4609	4550	64	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
MD_7_A2	4615	4554	67	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
MD_7_A3	4675	4576	62	kingdom	1.0	0.98	0.0	0.0	0.0	0.96	0.94	True
MD_7_B1	4436	4371	54	kingdom	1.0	0.99	0.0	0.0	0.0	0.97	0.96	True
MD_7_B2	4669	4601	63	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
MD_7_C1	4660	4594	63	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
MD_7_C2	4730	4651	76	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.96	True
MD_7_D1	4385	4350	52	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
MD_7_D2	4658	4592	62	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
MD_7_E1	5019	4956	175	genus	0.92	0.91	0.94	0.06	0.13	0.99	0.91	False
MD_7_E2	4315	4261	42	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
MD_7_F1	4616	4557	70	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
MD_7_F2	4670	4566	59	kingdom	1.0	0.98	0.0	0.0	0.0	0.96	0.94	True
MD_7_G1	4676	4573	62	kingdom	1.0	0.98	0.0	0.0	0.0	0.96	0.94	True
MD_7_G2	4285	4246	37	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
MD_7_H1	4853	4764	74	genus	0.92	0.9	0.89	0.04	0.07	0.98	0.88	False
MD_7_H2	4359	4323	32	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
SG19_084_Sal	4397	4335	40	kingdom	1.0	0.99	0.0	0.0	0.0	0.97	0.96	True
SG19_116_05_E_coli	4429	4381	55	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
SG19_116_Sal	4424	4376	50	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
SG19_171_Sal	4606	4546	57	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
SG19_182_Sal	4327	4283	44	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
SG19_233_Sal	4428	4377	54	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
SG19_238_Sal	4652	4594	145	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.97	True
SG19_269_Sal	4457	4360	39	kingdom	1.0	0.98	0.0	0.0	0.0	0.96	0.94	True
SG19_284_Sal	4487	4419	52	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.96	True
SG19_288_Sal	4358	4319	35	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
SG19_292_Sal	4432	4375	42	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.96	True
SG19_298_Sal	4564	4490	55	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.95	True
SG19_327_Sal	4573	4472	50	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.95	True
SG19_334_Sal	4421	4373	49	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
SG19_380_Sal	4571	4517	66	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
SG19_397_Sal	4435	4378	44	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.96	True
SG19_400_Sal	4571	4519	68	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
SIML_2017_01	5206	5045	795	kingdom	1.0	0.97	0.0	0.0	0.0	0.97	0.94	True
SIML_2017_02	4289	4250	40	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
SIML_2017_03	4652	4590	72	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
SIML_2017_04	4360	4320	35	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
SIML_2017_05	4936	4859	84	genus	0.92	0.91	0.89	0.04	0.09	0.99	0.9	False
SIML_2017_06	4634	4576	57	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
SIML_2017_07	4428	4363	25	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.96	True
SIML_2017_08	4362	4308	35	kingdom	1.0	0.99	0.0	0.0	0.0	0.97	0.96	True
SIML_2017_09	4491	4450	45	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
SIML_2017_10	4654	4582	47	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.96	True
SIML_2017_11	4580	4509	57	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.95	True
SIML_2017_12	17919	16487	12502	kingdom	1.0	0.92	0.0	0.0	0.0	0.97	0.89	True
SIML_2017_13	4563	4487	47	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.95	True
SIML_2017_14	4584	4505	37	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.95	True
SIML_2017_15	4445	4377	30	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.96	True
SIML_2017_16	4423	4357	30	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.96	True
SIML_2017_17	6106	5788	1328	kingdom	1.0	0.95	0.0	0.0	0.0	0.97	0.92	True
SIML_2017_18	4609	4552	65	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
SIML_2017_19	4641	4579	58	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
SIML_2017_20	8251	8089	3386	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.96	True
SIML_2017_21	4349	4308	49	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
SIML_2017_22	4653	4592	72	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
SIML_2017_23	4588	4526	66	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.97	True
SIML_2017_24	4679	4593	64	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.95	True
SIML_2019_02	4407	4363	51	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
SIML_2019_03	4344	4305	69	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
SIML_2019_04	4606	4517	29	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.95	True
SIML_2019_05	4574	4519	71	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
SIML_2019_06	4323	4291	29	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.98	True
SIML_2019_07	4372	4319	30	kingdom	1.0	0.99	0.0	0.0	0.0	0.97	0.96	True
SIML_2019_08	4846	4782	106	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
SIML_2019_09	4502	4430	32	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.96	True
SIML_2019_10	4504	4433	34	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.96	True
SIML_2019_11	4426	4378	46	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
SIML_2019_12	4484	4407	34	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.96	True
SIML_2019_13	4789	4728	80	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
SIML_2019_14	4367	4331	36	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
SIML_2019_15	4492	4439	39	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
Seagull_18_100_1_S16	4841	4779	107	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
Seagull_18_100_2_S17	4842	4777	103	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
Seagull_18_100_2_S18	4665	4556	30	genus	0.87	0.85	0.06	0.05	0.11	0.95	0.8	True
Seagull_18_109_2_S19	4666	4556	31	genus	0.87	0.85	0.06	0.05	0.11	0.95	0.8	True
Seagull_18_116_S20	9197	8966	550	genus	0.82	0.8	0.94	0.45	0.98	0.94	0.75	False
Seagull_18_117_1_S21	4678	4615	67	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
Seagull_18_117_2_S22	4680	4619	69	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
Seagull_18_117_3_S23	4683	4619	70	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
Seagull_18_118_S24	3641	3562	89	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.95	True
Seagull_18_119_S25	4476	4335	44	family	0.92	0.89	0.15	0.19	0.48	0.89	0.8	True
Seagull_18_124_1_S26	4193	4147	25	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
Seagull_18_124_2_S27	9050	8880	443	genus	0.89	0.88	0.89	0.48	1.0	0.97	0.85	False
Seagull_18_127_S28	9331	9147	426	genus	0.83	0.82	0.69	0.48	1.2	0.94	0.76	False
Seagull_18_132_1_S29	4333	4285	37	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
Seagull_18_132_2_S30	4323	4281	33	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
Seagull_18_136_S31	4529	4472	63	genus	0.89	0.88	0.11	0.06	0.13	0.99	0.87	True
Seagull_18_138_1_S32	4317	4245	24	genus	0.89	0.87	0.03	0.03	0.06	0.95	0.83	True
Seagull_18_138_2_S33	4312	4242	21	genus	0.89	0.87	0.03	0.03	0.06	0.95	0.83	True
Seagull_18_154_S34	4728	4656	79	genus	0.93	0.91	0.95	0.06	0.12	0.99	0.9	False
Seagull_18_156_S35	4390	4331	42	kingdom	1.0	0.99	0.0	0.0	0.0	0.97	0.95	True
Seagull_18_160_S36	3622	3541	53	kingdom	1.0	0.98	0.0	0.0	0.0	0.96	0.94	True
Seagull_18_163_1_S37	4679	4619	69	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
Seagull_18_163_2_S38	4684	4625	71	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
Seagull_18_165_S107	4681	4619	59	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
Seagull_18_166_S39	3829	3708	75	genus	0.92	0.89	0.38	0.03	0.07	0.98	0.87	True
Seagull_18_172_S40	4683	4622	73	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
Seagull_18_183_S41	3773	3684	41	kingdom	1.0	0.98	0.0	0.0	0.0	0.96	0.94	True
Seagull_18_190_1_S42	4681	4621	66	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
Seagull_18_190_2_S43	4687	4625	72	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
Seagull_18_196_S44	7792	7663	1153	family	0.98	0.96	0.98	0.44	0.98	0.98	0.94	False
Seagull_18_202_1_S45	4332	4281	41	genus	0.93	0.92	0.06	0.05	0.11	0.99	0.9	True
Seagull_18_202_2_S46	4335	4281	43	genus	0.93	0.91	0.06	0.05	0.11	0.99	0.9	True
Seagull_18_205_S108	3634	3561	55	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.95	True
Seagull_18_206_S47	4678	4618	70	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
Seagull_18_208_S48	4354	4288	16	genus	0.91	0.89	0.01	0.13	0.28	0.96	0.86	True
Seagull_18_210_S49	3651	3554	79	genus	0.94	0.92	0.38	0.03	0.06	0.98	0.9	True
Seagull_18_213_S50	3751	3639	85	genus	0.92	0.89	0.46	0.03	0.06	0.98	0.87	False
Seagull_18_216_S51	3676	3577	69	genus	0.95	0.92	0.37	0.03	0.06	0.98	0.9	True
Seagull_18_217_S52	3481	3407	49	genus	0.95	0.93	0.12	0.02	0.05	0.98	0.91	True
Seagull_18_220_S109	4678	4616	61	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
Seagull_18_223_S110	4513	4446	22	genus	0.9	0.89	0.03	0.06	0.13	0.95	0.84	True
Seagull_18_227_S53	4359	4281	30	genus	0.88	0.87	0.05	0.03	0.05	0.95	0.83	True
Seagull_18_229_S54	4692	4597	47	genus	0.87	0.85	0.08	0.08	0.18	0.94	0.8	True
Seagull_18_234_S55	3841	3734	83	kingdom	1.0	0.97	0.0	0.0	0.0	0.98	0.95	True
Seagull_18_235_S56	3495	3420	51	family	0.98	0.96	0.12	0.02	0.04	0.97	0.93	True
Seagull_18_238_S57	3487	3414	58	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.95	True
Seagull_18_240_1_S58	4688	4626	84	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
Seagull_18_240_2_S59	4684	4622	89	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
Seagull_18_241_S111	3676	3592	60	genus	0.93	0.91	0.33	0.03	0.05	0.98	0.9	True
Seagull_18_242_S60	4265	4130	32	genus	0.86	0.83	0.08	0.08	0.18	0.91	0.76	True
Seagull_18_244_S61	3775	3684	62	kingdom	1.0	0.98	0.0	0.0	0.0	0.96	0.94	True
Seagull_18_245_S62	3734	3623	76	genus	0.92	0.89	0.46	0.03	0.05	0.98	0.87	False
Seagull_18_246_S63	3661	3574	80	kingdom	1.0	0.98	0.0	0.0	0.0	0.96	0.94	True
Seagull_18_248_S64	3754	3663	76	genus	0.92	0.9	0.24	0.04	0.07	0.98	0.88	True
Seagull_18_249_S65	3810	3703	83	kingdom	1.0	0.97	0.0	0.0	0.0	0.98	0.95	True
Seagull_18_251_S66	4268	4233	166	genus	0.92	0.92	0.01	0.24	0.57	0.99	0.91	True
Seagull_18_252_S67	4341	4205	60	genus	0.85	0.82	0.17	0.09	0.21	0.91	0.75	True
Seagull_18_254_S112	4390	4258	23	family	0.95	0.92	0.1	0.18	0.46	0.89	0.81	True
Seagull_18_255_S68	4690	4628	89	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
Seagull_18_256_S69	3683	3583	78	genus	0.93	0.91	0.35	0.03	0.06	0.98	0.88	True
Seagull_18_258_S70	4373	4266	39	genus	0.87	0.84	0.28	0.03	0.06	0.97	0.82	True
Seagull_18_259_S71	4613	4544	180	genus	0.9	0.89	0.02	0.25	0.6	0.99	0.88	True
Seagull_18_260_S72	3716	3616	81	kingdom	1.0	0.97	0.0	0.0	0.0	0.96	0.93	True
Seagull_18_261_S73	3700	3607	73	kingdom	1.0	0.97	0.0	0.0	0.0	0.96	0.94	True
Seagull_18_262_S113	4424	4369	27	kingdom	1.0	0.99	0.0	0.0	0.0	0.93	0.92	True
Seagull_18_263_S114	3537	3462	54	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.96	True
Seagull_18_265_S115	4497	4428	46	genus	0.85	0.84	0.09	0.06	0.14	0.94	0.79	True
Seagull_18_266_S74	3760	3668	56	family	0.94	0.92	0.25	0.02	0.05	0.97	0.89	True
Seagull_18_267_S75	3801	3707	117	family	0.96	0.93	0.43	0.02	0.05	0.97	0.91	True
Seagull_18_34_S2	3632	3555	67	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.95	True
Seagull_18_40_S3	5602	5399	70	family	0.95	0.92	0.36	0.07	0.16	0.95	0.87	True
Seagull_18_42_S4	4682	4595	33	genus	0.89	0.87	0.1	0.07	0.16	0.95	0.82	True
Seagull_18_49_S5	4400	4263	43	family	0.95	0.92	0.14	0.19	0.49	0.89	0.81	True
Seagull_18_70_S6	3630	3551	64	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.95	True
Seagull_18_87_S7	3380	3320	36	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.95	True
Seagull_18_89_S8	4711	4644	79	genus	0.93	0.92	0.95	0.06	0.12	0.99	0.91	False
Seagull_18_8_S1	4482	4421	34	genus	0.85	0.84	0.09	0.06	0.14	0.94	0.79	True
Seagull_18_90_1_S9	4678	4617	68	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
Seagull_18_90_2_S10	4676	4618	67	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
Seagull_18_92_S11	4260	4124	153	genus	0.83	0.8	0.38	0.06	0.14	0.91	0.73	True
Seagull_18_93_S12	9240	9035	1238	genus	0.86	0.84	1.0	0.44	0.97	0.96	0.81	False
