Uberstrain	Name	Data_Source(Accession_No.;Sequencing_Platform;Sequencing_Library;Insert_Size;Experiment;Bases;Average_Length;Status)	Barcode	Source_Niche	Source_Type	Source_Details	Collection_Year	Collection_Month	Collection_Day	Collection_Time	Continent	Country	Region	District	City	Post_Code	Latitude	Longitude	Serovar	Subspecies	Disease	Antigenic_Formulas	Phage_Type	Lab_Contact	Comment	Bio_Project_ID	Project_ID	Sample_ID	Secondary_Sample_ID	Date_Entered	Release_Date	ST	eBG	Serotype_(Predicted)	Lineage	Status	Coverage	N50	Length	Species	Contig_Number(>=200_bp)	Low_Quality_Bases	Version	SISTR1_Serovar	SISTR1_Serogroup	SeqSero2_Serovar	SeqSero2_Serogroup	wgMLST	cgMLST	HC0	HC2	HC5	HC10	HC20	HC50	HC100	HC200	HC400	HC900	HC2000	HC2600	HC2850	Lab_Contact_Lowercase	Accession_No	Sequencing_Platform	Sequencing_Library	Insert_Size	Experiment	Bases	Average_Length
SAL_FA6700AA	67_N4799	SRR3476846;ILLUMINA;Paired;;SRX1741531;447202200;100	SAL_FA6700AA	Human	Human	Homo sapiens; Stools	2014	5	NA	NA	Oceania	Australia	NA	City of Parramatta Council	Sydney	NA	-33.86	151.2094	Typhimurium	I	NA	NA	DT135(Aus)	NSW Health Pathology - CIDM-PH, ICPMR	Phillips A. 2016 PM:27629541	PRJNA320449	SRP074336	SAMN04939500	SRS1421092	2016-05-16	2016-05-10	19	1	Typhimurium	ND	Assembled	91	214311	4887636	Salmonella enterica;96.93%	73	24956	4	Typhimurium	B	Typhimurium	4	187761	39894	39894	1852	1852	1852	1852	1503	1503	2	2	2	2	2	2	nsw health pathology - cidm-ph, icpmr	SRR3476846	ILLUMINA	Paired	_	SRX1741531	447202200	100
SAL_FA6701AA	65_E2330	SRR3476845;ILLUMINA;Paired;;SRX1741530;533484270;99	SAL_FA6701AA	ND	ND/Others	Perspex Doors	2014	5	NA	NA	Oceania	Australia	NA	City of Parramatta Council	Sydney	NA	-33.86	151.2094	Typhimurium	I	NA	NA	DT135(Aus)	NSW Health Pathology - CIDM-PH, ICPMR	Phillips A. 2016 PM:27629541	PRJNA320449	SRP074336	SAMN04939499	SRS1421091	2016-05-16	2016-05-10	19	1	Typhimurium	ND	Assembled	111	412869	4889400	Salmonella enterica;98.08%	54	21364	4	Typhimurium	B	Typhimurium	4	187762	39888	39888	1852	1852	1852	1852	1503	1503	2	2	2	2	2	2	nsw health pathology - cidm-ph, icpmr	SRR3476845	ILLUMINA	Paired	_	SRX1741530	533484270	99
SAL_FA6702AA	7_A2128	SRR3476844;ILLUMINA;Paired;;SRX1741529;453638196;99	SAL_FA6702AA	Human	Human	Homo sapiens; Stools	2014	1	NA	NA	Oceania	Australia	NA	City of Parramatta Council	Sydney	NA	-33.86	151.2094	Typhimurium	I	NA	NA	DT135(Aus)	NSW Health Pathology - CIDM-PH, ICPMR	Phillips A. 2016 PM:27629541	PRJNA320449	SRP074336	SAMN04939445	SRS1421090	2016-05-16	2016-05-10	19	1	Typhimurium	ND	Assembled	91	218857	4980684	Salmonella enterica;97.59%	87	24212	4	Typhimurium	B	Typhimurium	4	187753	39888	39888	1852	1852	1852	1852	1503	1503	2	2	2	2	2	2	nsw health pathology - cidm-ph, icpmr	SRR3476844	ILLUMINA	Paired	_	SRX1741529	453638196	99
SAL_FA6703AA	64_E4499	SRR3476843;ILLUMINA;Paired;;SRX1741528;465146800;100	SAL_FA6703AA	Food	ND/Others	Doors Of Chilled Food display unit	2014	4	NA	NA	Oceania	Australia	NA	City of Parramatta Council	Sydney	NA	-33.86	151.2094	Typhimurium	I	NA	NA	DT135(Aus)	NSW Health Pathology - CIDM-PH, ICPMR	Phillips A. 2016 PM:27629541	PRJNA320449	SRP074336	SAMN04939498	SRS1421089	2016-05-16	2016-05-10	19	1	Typhimurium	ND	Assembled	95	277819	4885984	Salmonella enterica;98.48%	64	19723	4	Typhimurium	B	Typhimurium	4	187752	39888	39888	1852	1852	1852	1852	1503	1503	2	2	2	2	2	2	nsw health pathology - cidm-ph, icpmr	SRR3476843	ILLUMINA	Paired	_	SRX1741528	465146800	100
SAL_FA6704AA	63_E4743	SRR3476842;ILLUMINA;Paired;;SRX1741527;446033016;99	SAL_FA6704AA	Environment	Plant	Sliced Tomato	2014	4	NA	NA	Oceania	Australia	NA	City of Parramatta Council	Sydney	NA	-33.86	151.2094	Typhimurium	I	NA	NA	DT135(Aus)	NSW Health Pathology - CIDM-PH, ICPMR	Phillips A. 2016 PM:27629541	PRJNA320449	SRP074336	SAMN04939497	SRS1421088	2016-05-16	2016-05-10	19	1	Typhimurium	ND	Assembled	92	290680	4886195	Salmonella enterica;98.36%	62	23429	4	Typhimurium	B	Typhimurium	4	187768	39888	39888	1852	1852	1852	1852	1503	1503	2	2	2	2	2	2	nsw health pathology - cidm-ph, icpmr	SRR3476842	ILLUMINA	Paired	_	SRX1741527	446033016	99
SAL_FA6705AA	62_E4742	SRR3476841;ILLUMINA;Paired;;SRX1741526;523504000;100	SAL_FA6705AA	Food	Avian	Shredded Cooked Chicken	2014	4	NA	NA	Oceania	Australia	NA	City of Parramatta Council	Sydney	NA	-33.86	151.2094	Typhimurium	I	NA	NA	DT135(Aus)	NSW Health Pathology - CIDM-PH, ICPMR	Phillips A. 2016 PM:27629541	PRJNA320449	SRP074336	SAMN04939496	SRS1421087	2016-05-16	2016-05-10	19	1	Typhimurium	ND	Assembled	108	270732	4883574	Salmonella enterica;98.5%	70	20836	4	Typhimurium	B	Typhimurium	4	187769	39888	39888	1852	1852	1852	1852	1503	1503	2	2	2	2	2	2	nsw health pathology - cidm-ph, icpmr	SRR3476841	ILLUMINA	Paired	_	SRX1741526	523504000	100
SAL_FA6706AA	61_E4721	SRR3476840;ILLUMINA;Paired;;SRX1741525;398613006;99	SAL_FA6706AA	ND	ND/Others	Pate	2014	4	NA	NA	Oceania	Australia	NA	City of Parramatta Council	Sydney	NA	-33.86	151.2094	Typhimurium	I	NA	NA	DT135(Aus)	NSW Health Pathology - CIDM-PH, ICPMR	Phillips A. 2016 PM:27629541	PRJNA320449	SRP074336	SAMN04939495	SRS1421086	2016-05-16	2016-05-10	19	1	Typhimurium	ND	Assembled	83	480051	4885314	Salmonella enterica;98.28%	63	21353	4	Typhimurium	B	Typhimurium	4	187758	39888	39888	1852	1852	1852	1852	1503	1503	2	2	2	2	2	2	nsw health pathology - cidm-ph, icpmr	SRR3476840	ILLUMINA	Paired	_	SRX1741525	398613006	99
SAL_FA6707AA	60_E4720	SRR3476839;ILLUMINA;Paired;;SRX1741524;352300608;99	SAL_FA6707AA	Food	ND/Others	Bulk Egg Butter	2014	4	NA	NA	Oceania	Australia	NA	City of Parramatta Council	Sydney	NA	-33.86	151.2094	Typhimurium	I	NA	NA	DT135(Aus)	NSW Health Pathology - CIDM-PH, ICPMR	Phillips A. 2016 PM:27629541	PRJNA320449	SRP074336	SAMN04939494	SRS1421085	2016-05-16	2016-05-10	19	1	Typhimurium	ND	Assembled	73	225736	4881811	Salmonella enterica;98.54%	68	20803	4	Typhimurium	B	Typhimurium	4	187757	39888	39888	1852	1852	1852	1852	1503	1503	2	2	2	2	2	2	nsw health pathology - cidm-ph, icpmr	SRR3476839	ILLUMINA	Paired	_	SRX1741524	352300608	99
SAL_FA6708AA	59_E4696	SRR3476838;ILLUMINA;Paired;;SRX1741523;358556022;99	SAL_FA6708AA	Environment	Soil/Dust	rear fridge shelves	2014	4	NA	NA	Oceania	Australia	NA	City of Parramatta Council	Sydney	NA	-33.86	151.2094	Typhimurium	I	NA	NA	DT135(Aus)	NSW Health Pathology - CIDM-PH, ICPMR	Phillips A. 2016 PM:27629541	PRJNA320449	SRP074336	SAMN04939493	SRS1421084	2016-05-16	2016-05-10	19	1	Typhimurium	ND	Assembled	74	199146	4882730	Salmonella enterica;98.78%	82	35930	4	Typhimurium	B	Typhimurium	4	187760	39888	39888	1852	1852	1852	1852	1503	1503	2	2	2	2	2	2	nsw health pathology - cidm-ph, icpmr	SRR3476838	ILLUMINA	Paired	_	SRX1741523	358556022	99
SAL_FA6709AA	58_E4692	SRR3476837;ILLUMINA;Paired;;SRX1741522;381442248;99	SAL_FA6709AA	Food	ND/Others	chilled food display doors & prep bench	2014	4	NA	NA	Oceania	Australia	NA	City of Parramatta Council	Sydney	NA	-33.86	151.2094	Typhimurium	I	NA	NA	DT135(Aus)	NSW Health Pathology - CIDM-PH, ICPMR	Phillips A. 2016 PM:27629541	PRJNA320449	SRP074336	SAMN04939492	SRS1421083	2016-05-16	2016-05-10	19	1	Typhimurium	ND	Assembled	80	382691	4889247	Salmonella enterica;98.3%	64	20142	4	Typhimurium	B	Typhimurium	4	187759	39888	39888	1852	1852	1852	1852	1503	1503	2	2	2	2	2	2	nsw health pathology - cidm-ph, icpmr	SRR3476837	ILLUMINA	Paired	_	SRX1741522	381442248	99
SAL_FA6710AA	57_E4810	SRR3476836;ILLUMINA;Paired;;SRX1741521;403815852;99	SAL_FA6710AA	ND	ND/Others	Pate 2	2014	2	NA	NA	Oceania	Australia	NA	City of Parramatta Council	Sydney	NA	-33.86	151.2094	Typhimurium	I	NA	NA	DT135(Aus)	NSW Health Pathology - CIDM-PH, ICPMR	Phillips A. 2016 PM:27629541	PRJNA320449	SRP074336	SAMN04939491	SRS1421082	2016-05-16	2016-05-10	19	1	Typhimurium	ND	Assembled	84	198752	4884509	Salmonella enterica;98.8%	84	20306	4	Typhimurium	B	Typhimurium	4	187764	39888	39888	1852	1852	1852	1852	1503	1503	2	2	2	2	2	2	nsw health pathology - cidm-ph, icpmr	SRR3476836	ILLUMINA	Paired	_	SRX1741521	403815852	99
SAL_FA6711AA	56_E4809	SRR3476835;ILLUMINA;Paired;;SRX1741519;391025250;99	SAL_FA6711AA	ND	ND/Others	Pate 1	2014	2	NA	NA	Oceania	Australia	NA	City of Parramatta Council	Sydney	NA	-33.86	151.2094	Typhimurium	I	NA	NA	DT135(Aus)	NSW Health Pathology - CIDM-PH, ICPMR	Phillips A. 2016 PM:27629541	PRJNA320449	SRP074336	SAMN04939490	SRS1421079	2016-05-16	2016-05-10	19	1	Typhimurium	ND	Assembled	82	277630	4885816	Salmonella enterica;98.54%	69	20427	4	Typhimurium	B	Typhimurium	4	187763	39888	39888	1852	1852	1852	1852	1503	1503	2	2	2	2	2	2	nsw health pathology - cidm-ph, icpmr	SRR3476835	ILLUMINA	Paired	_	SRX1741519	391025250	99
SAL_FA6712AA	55_N4714	SRR3476834;ILLUMINA;Paired;;SRX1741518;385223652;99	SAL_FA6712AA	Human	Human	Homo sapiens; Stools	2014	5	NA	NA	Oceania	Australia	NA	City of Parramatta Council	Sydney	NA	-33.86	151.2094	Typhimurium	I	NA	NA	DT135(Aus)	NSW Health Pathology - CIDM-PH, ICPMR	Phillips A. 2016 PM:27629541	PRJNA320449	SRP074336	SAMN04939489	SRS1421081	2016-05-16	2016-05-10	19	1	Typhimurium	ND	Assembled	80	379543	4886243	Salmonella enterica;98.33%	62	17070	4	Typhimurium	B	Typhimurium	4	187765	39901	39901	1852	1852	1852	1852	1503	1503	2	2	2	2	2	2	nsw health pathology - cidm-ph, icpmr	SRR3476834	ILLUMINA	Paired	_	SRX1741518	385223652	99
SAL_FA6713AA	6_A4103	SRR3476833;ILLUMINA;Paired;;SRX1741517;387578466;99	SAL_FA6713AA	Human	Human	Homo sapiens; Stools	2014	1	NA	NA	Oceania	Australia	NA	City of Parramatta Council	Sydney	NA	-33.86	151.2094	Typhimurium	I	NA	NA	DT135(Aus)	NSW Health Pathology - CIDM-PH, ICPMR	Phillips A. 2016 PM:27629541	PRJNA320449	SRP074336	SAMN04939444	SRS1421077	2016-05-16	2016-05-10	19	1	Typhimurium	ND	Assembled	80	383310	4887164	Salmonella enterica;98.47%	65	25300	4	Typhimurium	B	Typhimurium	4	187767	39888	39888	1852	1852	1852	1852	1503	1503	2	2	2	2	2	2	nsw health pathology - cidm-ph, icpmr	SRR3476833	ILLUMINA	Paired	_	SRX1741517	387578466	99
SAL_FA6714AA	54_N4956	SRR3476832;ILLUMINA;Paired;;SRX1741516;386436006;99	SAL_FA6714AA	Human	Human	Homo sapiens; Stools	2014	5	NA	NA	Oceania	Australia	NA	City of Parramatta Council	Sydney	NA	-33.86	151.2094	Typhimurium	I	NA	NA	DT135(Aus)	NSW Health Pathology - CIDM-PH, ICPMR	Phillips A. 2016 PM:27629541	PRJNA320449	SRP074336	SAMN04939488	SRS1421078	2016-05-16	2016-05-10	19	1	Typhimurium	ND	Assembled	79	378796	4967734	Salmonella enterica;97.26%	74	32128	4	Typhimurium	B	Typhimurium	4	187770	39894	39894	1852	1852	1852	1852	1503	1503	2	2	2	2	2	2	nsw health pathology - cidm-ph, icpmr	SRR3476832	ILLUMINA	Paired	_	SRX1741516	386436006	99
SAL_FA6715AA	53_N5139a	SRR3476831;ILLUMINA;Paired;;SRX1741515;416468646;99	SAL_FA6715AA	Human	Human	Homo sapiens; Stools	2014	5	NA	NA	Oceania	Australia	NA	City of Parramatta Council	Sydney	NA	-33.86	151.2094	Typhimurium	I	NA	NA	DT135(Aus)	NSW Health Pathology - CIDM-PH, ICPMR	Phillips A. 2016 PM:27629541	PRJNA320449	SRP074336	SAMN04939487	SRS1421076	2016-05-16	2016-05-10	19	1	Typhimurium	ND	Assembled	87	286313	4891538	Salmonella enterica;98.36%	67	22153	4	Typhimurium	B	Typhimurium	4	187771	152937	39900	1852	1852	1852	1852	1503	1503	2	2	2	2	2	2	nsw health pathology - cidm-ph, icpmr	SRR3476831	ILLUMINA	Paired	_	SRX1741515	416468646	99
SAL_FA6716AA	52_N5064	SRR3476830;ILLUMINA;Paired;;SRX1741514;762334254;99	SAL_FA6716AA	Human	Human	Homo sapiens; Stools	2014	5	NA	NA	Oceania	Australia	NA	City of Parramatta Council	Sydney	NA	-33.86	151.2094	Typhimurium	I	NA	NA	DT135(Aus)	NSW Health Pathology - CIDM-PH, ICPMR	Phillips A. 2016 PM:27629541	PRJNA320449	SRP074336	SAMN04939486	SRS1421075	2016-05-16	2016-05-10	19	1	Typhimurium	ND	Assembled	160	492797	4887416	Salmonella enterica;98.04%	53	17634	4	Typhimurium	B	Typhimurium	4	187776	39900	39900	1852	1852	1852	1852	1503	1503	2	2	2	2	2	2	nsw health pathology - cidm-ph, icpmr	SRR3476830	ILLUMINA	Paired	_	SRX1741514	762334254	99
SAL_FA6717AA	51_M5033	SRR3476829;ILLUMINA;Paired;;SRX1741513;416334402;99	SAL_FA6717AA	Human	Human	Homo sapiens; Stools	2014	4	NA	NA	Oceania	Australia	NA	City of Parramatta Council	Sydney	NA	-33.86	151.2094	Typhimurium	I	NA	NA	DT135(Aus)	NSW Health Pathology - CIDM-PH, ICPMR	Phillips A. 2016 PM:27629541	PRJNA320449	SRP074336	SAMN04939485	SRS1421074	2016-05-16	2016-05-10	19	1	Typhimurium	ND	Assembled	87	254470	4882290	Salmonella enterica;98.55%	73	19518	4	Typhimurium	B	Typhimurium	4	187773	39888	39888	1852	1852	1852	1852	1503	1503	2	2	2	2	2	2	nsw health pathology - cidm-ph, icpmr	SRR3476829	ILLUMINA	Paired	_	SRX1741513	416334402	99
SAL_FA6718AA	50_M2475b	SRR3476828;ILLUMINA;Paired;;SRX1741512;236935580;98	SAL_FA6718AA	Human	Human	Homo sapiens; Stools	2014	4	NA	NA	Oceania	Australia	NA	City of Parramatta Council	Sydney	NA	-33.86	151.2094	Typhimurium	I	NA	NA	DT135(Aus)	NSW Health Pathology - CIDM-PH, ICPMR	Phillips A. 2016 PM:27629541	PRJNA320449	SRP074336	SAMN04939484	SRS1421073	2016-05-16	2016-05-10	19	1	Typhimurium	ND	Assembled	50	224804	4885436	Salmonella enterica;98.51%	73	29931	4	Typhimurium	B	Typhimurium	4	187777	39888	39888	1852	1852	1852	1852	1503	1503	2	2	2	2	2	2	nsw health pathology - cidm-ph, icpmr	SRR3476828	ILLUMINA	Paired	_	SRX1741512	236935580	98
SAL_FA6719AA	48_M4732	SRR3476827;ILLUMINA;Paired;;SRX1741511;194857800;100	SAL_FA6719AA	Human	Human	Homo sapiens; Stools	2014	4	NA	NA	Oceania	Australia	NA	City of Parramatta Council	Sydney	NA	-33.86	151.2094	Typhimurium	I	NA	NA	DT135(Aus)	NSW Health Pathology - CIDM-PH, ICPMR	Phillips A. 2016 PM:27629541	PRJNA320449	SRP074336	SAMN04939483	SRS1421072	2016-05-16	2016-05-10	19	1	Typhimurium	ND	Assembled	39	52767	4839415	Salmonella enterica;99.46%	190	93765	4	Typhimurium	B	ND	-	187772	152936	152936	1852	1852	1852	1852	1503	1503	2	2	2	2	2	2	nsw health pathology - cidm-ph, icpmr	SRR3476827	ILLUMINA	Paired	_	SRX1741511	194857800	100
SAL_FA6720AA	46_M4704	SRR3476826;ILLUMINA;Paired;;SRX1741510;226139562;99	SAL_FA6720AA	Human	Human	Homo sapiens; Stools	2014	4	NA	NA	Oceania	Australia	NA	City of Parramatta Council	Sydney	NA	-33.86	151.2094	Typhimurium	I	NA	NA	DT135(Aus)	NSW Health Pathology - CIDM-PH, ICPMR	Phillips A. 2016 PM:27629541	PRJNA320449	SRP074336	SAMN04939482	SRS1421071	2016-05-16	2016-05-10	19	1	Typhimurium	ND	Assembled	47	243255	4871517	Salmonella enterica;98.19%	56	21341	4	Typhimurium	B	Typhimurium	4	187774	39888	39888	1852	1852	1852	1852	1503	1503	2	2	2	2	2	2	nsw health pathology - cidm-ph, icpmr	SRR3476826	ILLUMINA	Paired	_	SRX1741510	226139562	99
SAL_FA6721AA	45_M4703	SRR3476825;ILLUMINA;Paired;;SRX1741509;225792468;99	SAL_FA6721AA	Human	Human	Homo sapiens; Stools	2014	4	NA	NA	Oceania	Australia	NA	City of Parramatta Council	Sydney	NA	-33.86	151.2094	Typhimurium	I	NA	NA	DT135(Aus)	NSW Health Pathology - CIDM-PH, ICPMR	Phillips A. 2016 PM:27629541	PRJNA320449	SRP074336	SAMN04939481	SRS1421070	2016-05-16	2016-05-10	19	1	Typhimurium	ND	Assembled	47	123035	4857064	Salmonella enterica;98.99%	103	63399	4	Typhimurium	B	ND	-	187775	152940	39888	1852	1852	1852	1852	1503	1503	2	2	2	2	2	2	nsw health pathology - cidm-ph, icpmr	SRR3476825	ILLUMINA	Paired	_	SRX1741509	225792468	99
SAL_FA6722AA	44_M4945	SRR3476824;ILLUMINA;Paired;;SRX1741508;313760106;99	SAL_FA6722AA	Human	Human	Homo sapiens; Stools	2014	4	NA	NA	Oceania	Australia	NA	City of Parramatta Council	Sydney	NA	-33.86	151.2094	Typhimurium	I	NA	NA	DT135(Aus)	NSW Health Pathology - CIDM-PH, ICPMR	Phillips A. 2016 PM:27629541	PRJNA320449	SRP074336	SAMN04939480	SRS1421069	2016-05-16	2016-05-10	19	1	Typhimurium	ND	Assembled	64	124904	4958033	Salmonella enterica;96.94%	103	55766	4	Typhimurium	B	Typhimurium	4	187779	152941	39888	1852	1852	1852	1852	1503	1503	2	2	2	2	2	2	nsw health pathology - cidm-ph, icpmr	SRR3476824	ILLUMINA	Paired	_	SRX1741508	313760106	99
