"Lab_Contact_Lowercase"	"Lab Contact"	"counts"
"l. bonifait; l. baugé; anses ploufragan"	"L. Bonifait; L. Baugé; Anses Ploufragan"	8
"marguerite.e.m. nikiema/universitã© joseph ki-zerbo"	"Marguerite.E.M. Nikiema/UniversitÃ© Joseph Ki-Zerbo"	8
"mghanem@umd.edu"	"mghanem@umd.edu"	8
"narms project: thakur molecular epidemiology laboratory, nc state university"	"NARMS Project: Thakur Molecular Epidemiology Laboratory, NC State University"	8
"trinity college dublin"	"Trinity College Dublin"	8
"university college dublin"	"University College Dublin"	8
"visavet health surveillance centre (ucm)"	"visavet health surveillance centre (ucm)"	8
"1"	"1"	7
"aga khan university hospital"	"Aga Khan University Hospital"	7
"baniga"	"Baniga"	7
"beca-ilri"	"BecA-ILRI"	7
"chattaway, phe"	"Chattaway, PHE"	7
"fera"	"Fera"	7
"gil@sund.ku.dk"	"GIL@SUND.KU.DK"	7
"instituto nacional de salud"	"Instituto Nacional de Salud"	7
"johannes krause, max planck institute for the science of human history, jena, germany"	"Johannes Krause, Max Planck Institute for the Science of Human History, Jena, Germany"	7
"laboratoire national de santé"	"Laboratoire National de Santé"	7
"lee harrison"	"Lee Harrison"	7
"lex leong"	"Lex Leong"	7
"national institute for communicable diseases"	"National Institute for Communicable Diseases"	7
"silvia herrera-leon"	"Silvia Herrera-Leon"	7
"south dakota dept. of health/sdsu"	"South Dakota Dept. of Health/SDSU"	7
"timothy johnson, college of veterinary medicine, university of minnesota"	"Timothy Johnson, College of Veterinary Medicine, University of Minnesota"	7
"university of melbourne"	"University of Melbourne"	7
"university of saskatchewan"	"University of Saskatchewan"	7
"university of technology sydney"	"University of Technology Sydney"	7
"vkozyreva"	"vkozyreva"	7
"yangzhou university"	"Yangzhou University"	7
"785-770-5551"	"785-770-5551"	6
"dc phl"	"DC PHL"	6
"department of agriculture - agricultural research service (us)"	"Department of Agriculture - Agricultural Research Service (US)"	6
"department of agriculture - agricultural research service, meat animal research center (us)"	"Department of Agriculture - Agricultural Research Service, Meat Animal Research Center (US)"	6
"food-borne pathogen omics research center, forc"	"Food-borne Pathogen Omics Research Center, FORC"	6
"imperial college london"	"Imperial College London"	6
"mass public health"	"mass public health"	6
"roskilde university"	"Roskilde University"	6
"seoul national university"	"Seoul National University"	6
"ul mf imi"	"UL MF IMI"	6
"universite laval"	"Universite Laval"	6
"university college cork (f. boyd)"	"University College Cork (F. Boyd)"	6
"university of california, irvine"	"University of California, Irvine"	6
"university of sao paulo"	"University of Sao Paulo"	6
"w. rabsch (robert koch-institut, wernigerode)"	"W. Rabsch (Robert Koch-Institut, Wernigerode)"	6
"yujie"	"Yujie"	6
"ahvla"	"AHVLA"	5
"bundesinstitut f�r risikobewertung"	"Bundesinstitut f�r Risikobewertung"	5
"cardiff university, kirsty sands, timothy walsh"	"Cardiff University, Kirsty Sands, Timothy Walsh"	5
"cheng-hsun chiu"	"Cheng-Hsun Chiu"	5
"finnish institute for health and welfare"	"Finnish Institute for Health and Welfare"	5
"iowa state university college of veterinary medicine"	"Iowa State University College of Veterinary Medicine"	5
"istituto superiore di sanità"	"Istituto Superiore di Sanità"	5
"istituto zooprofilattico sperimentale della lombardia e dell'emilia romagna"	"Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna"	5
"joel mossong"	"Joel Mossong"	5
"ken sanderson"	"Ken Sanderson"	5
"narms project - state of kansas"	"NARMS Project - State of Kansas"	5
"national institute of infectious diseases (japan)"	"National Institute of Infectious Diseases (Japan)"	5
"nc slph"	"NC SLPH"	5
"new jersey department of agriculture"	"New Jersey Department of Agriculture"	5
"penn state university"	"Penn State University"	5
"salmonella reference section,phe,colindale,u.k, m. chattaway"	"Salmonella Reference Section,PHE,Colindale,U.K, M. Chattaway"	5
"shanghai jiao tong university"	"Shanghai Jiao Tong University"	5
"welfare, department of infectious diseas"	"WELFARE, DEPARTMENT OF INFECTIOUS DISEAS"	5
"zheng(jscdc)"	"ZHENG(JSCDC)"	5
"animal and plant quarantine agency"	"Animal and Plant Quarantine Agency"	4
"animal health and veterinary laboratories agency"	"ANIMAL HEALTH AND VETERINARY LABORATORIES AGENCY"	4
"berlin center for genomics in biodiversity research"	"Berlin Center for Genomics in Biodiversity Research"	4
"c. ragimbeau, lns luxembourg"	"C. Ragimbeau, LNS Luxembourg"	4
"ceneters for disease control and prevention"	"Ceneters for Disease Control and Prevention"	4
"cttctt@outlook.com"	"cttctt@outlook.com"	4
"fda cvm narms - iowa state university"	"FDA CVM NARMS - Iowa State University"	4
"fsis srcamb"	"FSIS SRCAMB"	4
"fss"	"fss"	4
"herricjb@jmu.edu"	"herricjb@jmu.edu"	4
"institut pasteur  guadeloupe"	"Institut Pasteur  Guadeloupe"	4
"institute for research in molecular medicine (informm)"	"Institute for Research in Molecular Medicine (INFORMM)"	4
"instituto tecnologico agrario de castilla y leon"	"Instituto Tecnologico Agrario de Castilla y Leon"	4
"instituto tecnologico agrario de castilla y leon (itacyl)"	"Instituto Tecnologico Agrario de Castilla y Leon (ITACyL)"	4
"instituto tecnológico agrario de castilla y leon (itacyl)"	"Instituto Tecnológico Agrario de Castilla y Leon (ITACyL)"	4
"l. bonifait_ anses ploufragan - hqpap unit - france"	"L. Bonifait_ Anses Ploufragan - HQPAP Unit - France"	4
"l. bonifait, anses ploufragan, hqpap unit, france"	"L. Bonifait, Anses Ploufragan, HQPAP Unit, FRANCE"	4
"laetitia bonifait - anses ploufragan - hqpap unit"	"Laetitia Bonifait - Anses Ploufragan - HQPAP Unit"	4
"map"	"map"	4
"mapa"	"Mapa"	4
"mapa"	"MAPA"	4
"minnesota department of health"	"Minnesota Department of Health"	4
"national institutes of health (us)"	"National Institutes of Health (US)"	4
"national university of ireland, galway"	"NATIONAL UNIVERSITY OF IRELAND, GALWAY"	4
"ncbi"	"NCBI"	4
"new york state dept. of health - wadsworth center"	"New York State Dept. of Health - Wadsworth Center"	4
"nin"	"NIN"	4
"ning-xia.fang@health.qld.gov.au"	"ning-xia.fang@health.qld.gov.au"	4
"nrl"	"NRL"	4
"nvri, magdalena zając"	"NVRI, Magdalena Zając"	4
"oxford university clinical research unit, viet nam"	"Oxford University Clinical Research Unit, Viet Nam"	4
"p. alba (izslt)"	"P. Alba (IZSLT)"	4
"public health cuhk"	"Public Health CUHK"	4
"qinning wang, cidmls, icpmr, westmead hospital"	"Qinning Wang, CIDMLS, ICPMR, Westmead Hospital"	4
"sabrina diemert"	"Sabrina Diemert"	4
"salmonella reference section,phe,colindale,u.k (m.chattaway)"	"Salmonella Reference Section,PHE,Colindale,U.K (M.Chattaway)"	4
"sheba medical center"	"Sheba medical center"	4
"south china agricultural university"	"South China Agricultural University"	4
"southwest university for nationalities"	"Southwest University for Nationalities"	4
"texas tech university"	"Texas Tech University"	4
"the ohio state university"	"The Ohio State University"	4
"universidad nacional autanoma de mexico - instituto de biotecnologia"	"Universidad Nacional Autanoma de Mexico - Instituto de Biotecnologia"	4
"university of adelaide"	"University of Adelaide"	4
"usda ars"	"USDA ARS"	4
"30962833"	"30962833"	3
"673219736@qq.com"	"673219736@qq.com"	3
"a"	"a"	3
"ajou university"	"Ajou University"	3
"ariel university"	"Ariel University"	3
"c. carrillo (cfia)"	"C. Carrillo (CFIA)"	3
"c. lofstrom (national food institute, technical university of denmark)"	"C. Lofstrom (National Food Institute, Technical University of Denmark)"	3
"catherine.carrillo@canada.ca"	"catherine.carrillo@canada.ca"	3
"catherine.carrillo@inspection.gc.ca"	"Catherine.Carrillo@inspection.gc.ca"	3
"centers for disease control and prevention"	"Centers for disease control and prevention"	3
"central public health laboratories"	"Central Public Health Laboratories"	3
"china"	"China"	3
"craig parker, usda ars, albany ca 94710"	"Craig Parker, USDA ARS, Albany CA 94710"	3
"egle kudirkiene, university of copenhagen"	"Egle Kudirkiene, University of Copenhagen"	3
"enteric diseases laboratory branch, centers for disease control and prevention"	"Enteric Diseases Laboratory Branch, Centers for Disease Control and Prevention"	3
"federal ministry of agriculture & rural development"	"Federal Ministry of Agriculture & Rural Development"	3
"food and environment research agency (us)"	"Food and Environment Research Agency (US)"	3
"fss phm"	"FSS PHM"	3
"german federal institute for risk assessment"	"German Federal Institute for Risk Assessment"	3
"heike claus"	"Heike Claus"	3
"henczko.judit@nnk.gov.hu"	"henczko.judit@nnk.gov.hu"	3
"joël mossong, lns"	"Joël Mossong, LNS"	3
"lapoa-federal university of paraiba (ufpb)"	"LAPOA-Federal University of Paraiba (UFPB)"	3
"mark odea"	"Mark ODea"	3
"mr.trung"	"Mr.Trung"	3
"nankai university"	"Nankai University"	3
"national reference center belgium"	"National Reference Center Belgium"	3
"nestle research"	"Nestle Research"	3
"nilton lincopan"	"Nilton Lincopan"	3
"nrc belgium, sciensano"	"NRC Belgium, Sciensano"	3
"queensland department of health"	"Queensland Department of Health"	3
"robert koch-institut"	"Robert Koch-Institut"	3
"s. simon"	"S. Simon"	3
"s.simon"	"S.Simon"	3
"sassari university fpiras@uniss.it"	"Sassari University fpiras@uniss.it"	3
"scientific insitute of public health"	"Scientific Insitute of Public Health"	3
"sss"	"sss"	3
"su, lin-hui"	"Su, Lin-Hui"	3
"university of bern"	"University of Bern"	3
"university of regina"	"University of Regina"	3
"yanmeiying@icdc.cn"	"yanmeiying@icdc.cn"	3
"+86-029-82229105"	"+86-029-82229105"	2
"07 3096 2833"	"07 3096 2833"	2
"123"	"123"	2
"96896132424"	"96896132424"	2
"a. coffey (cit)"	"A. Coffey (CIT)"	2
"a. szmolka (institute for veterinary medical research)"	"A. Szmolka (Institute for Veterinary Medical Research)"	2
"amanda kidsley university of adelaide"	"Amanda Kidsley University of Adelaide"	2
"anses"	"Anses"	2
"ark genomics"	"Ark Genomics"	2
"assaf rokney (moh)"	"Assaf Rokney (MOH)"	2
"az genometrakr submission group at tgen north"	"AZ GenomeTrakr submission group at TGen North"	2
"balaji v"	"Balaji V"	2
"banerji s"	"Banerji S"	2
"basespace"	"BaseSpace"	2
"bdjeghout@uniss.it"	"bdjeghout@uniss.it"	2
"beijing institute of biotechnology"	"Beijing Institute of Biotechnology"	2
"biotechnology research institute"	"Biotechnology Research Institute"	2
"cantab"	"CANTAB"	2
"catherine.carrillo@inspection.gc.ca"	"catherine.carrillo@inspection.gc.ca"	2
"centers for disease control, r.o.c (taiwan)"	"Centers for Disease Control, R.O.C (Taiwan)"	2
"china agricultural university"	"China Agricultural University"	2
"christian medical college"	"Christian Medical College"	2
"cidm-ph, icpmr, westmead hospital"	"CIDM-PH, ICPMR, Westmead Hospital"	2
"clc bio"	"CLC BIO"	2
"e. trost"	"E. Trost"	2
"edgar mendieta"	"EDGAR MENDIETA"	2
"epb"	"EPB"	2
"faculdade de ciencias farmaceuticas de ribeirao preto"	"Faculdade de Ciencias Farmaceuticas de Ribeirao Preto"	2
"farvet s.a.c."	"FARVET S.A.C."	2
"fli"	"FLI"	2
"food-borne pathogen omics research center"	"Food-borne Pathogen Omics Research Center"	2
"gifu university - graduate school of medicine"	"Gifu University - Graduate School of Medicine"	2
"gil@sund.ku.dk"	"gil@sund.ku.dk"	2
"harbin medical university"	"Harbin Medical University"	2
"institute of food safety and nutrition"	"Institute of Food Safety and Nutrition"	2
"istituto zooprofilattico sperimentale del piemonte liguria e valle d'aosta"	"Istituto Zooprofilattico Sperimentale del Piemonte Liguria e Valle d'Aosta"	2
"izsam batteriologia"	"IZSAM Batteriologia"	2
"j. wain (hpa, colindale)"	"J. Wain (HPA, Colindale)"	2
"jinan centers for disease control and prevention"	"Jinan Centers for Disease Control and Prevention"	2
"kerry cooper"	"Kerry Cooper"	2
"king abdullah international medical research center (kaimrc)"	"King Abdullah International Medical Research Center (KAIMRC)"	2
"krause"	"Krause"	2
"kritchai poonchareon"	"kritchai Poonchareon"	2
"laboratoire national de santé"	"Laboratoire national de Santé"	2
"lnr cps"	"LNR CPS"	2
"m_mkrtchyan@mb.sci.am"	"m_mkrtchyan@mb.sci.am"	2
"m. cormican (nsrl, galway)"	"M. Cormican (NSRL, Galway)"	2
"mariapilar.cortes@uab.cat"	"mariapilar.cortes@uab.cat"	2
"mark holmes, university of cambridge"	"Mark Holmes, University of Cambridge"	2
"meiying yan(china cdc)"	"Meiying Yan(China CDC)"	2
"mia torpdahl"	"Mia Torpdahl"	2
"ministry of food and drug safety"	"Ministry of Food and Drug Safety"	2
"mohammed"	"mOHAMMED"	2
"n. r. thomson"	"N. R. Thomson"	2
"national institute of food and drug safety evaluation"	"National Institute of Food and Drug Safety Evaluation"	2
"nico wenner"	"Nico Wenner"	2
"nnaemeka nnadi"	"Nnaemeka Nnadi"	2
"north dakota state university"	"North Dakota State University"	2
"nrl"	"nrl"	2
"ohad.gal-mor@sheba.health.gov.il"	"Ohad.Gal-Mor@sheba.health.gov.il"	2
"p. antunes, bact_drugs - ucibio/requimte.uporto"	"P. Antunes, BacT_Drugs - UCIBIO/REQUIMTE.UPorto"	2
"pangbo@icdc.cn"	"pangbo@icdc.cn"	2
"robert söderlund"	"Robert Söderlund"	2
"ruiting lan"	"Ruiting Lan"	2
"scau vet"	"scau vet"	2
"school of agriculture and biology, shanghai jiao tong university"	"School of Agriculture and Biology, Shanghai Jiao Tong University"	2
"severance hospital, yonsei university college of medicine"	"Severance Hospital, Yonsei University College of Medicine"	2
"shaanxi provincial center for disease prevention and control"	"Shaanxi Provincial Center for disease prevention and control"	2
"silvia herrera-león"	"Silvia Herrera-León"	2
"tasmanian health service"	"Tasmanian Health Service"	2
"terence"	"Terence"	2
"thaku lab"	"Thaku lab"	2
"the center of disease control and prevention of pla"	"The Center of Disease Control and Prevention of PLA"	2
"ths"	"THS"	2
"universidad andres bello"	"Universidad Andres Bello"	2
"universiti sains malaysia"	"Universiti Sains Malaysia"	2
"university hospital basel"	"University Hospital Basel"	2
"university of maryland - institute for genome sciences"	"University of Maryland - Institute for Genome Sciences"	2
"university of pennyslvania"	"university of pennyslvania"	2
"university of tennessee"	"University of Tennessee"	2
"university of tennessee, ximin zeng"	"University of Tennessee, Ximin Zeng"	2
"university of westminster"	"University of Westminster"	2
"university pf regina"	"University pf Regina"	2
"usda food safety and inspection service"	"USDA Food Safety and Inspection Service"	2
"usfda"	"USFDA"	2
"vbc"	"VBC"	2
"wangweiwsw@cfsa.net.cn"	"wangweiwsw@cfsa.net.cn"	2
"wanzhou cdc klh"	"Wanzhou CDC KLH"	2
"wuyarong525@126.com"	"wuyarong525@126.com"	2
"yang xiaojuan guangdong institute of microbiology"	"Yang Xiaojuan Guangdong Institute of Microbiology"	2
"zhang junjun,xianyangcdc"	"Zhang Junjun,XianyangCDC"	2
"zhejiang academy of agricultural sciences"	"Zhejiang Academy of Agricultural Sciences"	2
"+55 11 3091 7296"	"+55 11 3091 7296"	1
"028-85589023"	"028-85589023"	1
"037585680"	"037585680"	1
"15271872722"	"15271872722"	1
"38862607@qq.com"	"38862607@qq.com"	1
"60924416"	"60924416"	1
"785-77005551"	"785-77005551"	1
"785532-1299"	"785532-1299"	1
"86"	"86"	1
"8613699700899"	"8613699700899"	1
"923339278471"	"923339278471"	1
"96824705740"	"96824705740"	1
"a. janowicz (izsam)"	"A. Janowicz (IZSAM)"	1
"a. van den bossche"	"A. Van den Bossche"	1
"aarhus university"	"Aarhus University"	1
"aarhus university, denmark"	"Aarhus University, Denmark"	1
"animal and plant health agency (uk)"	"Animal and Plant Health Agency (UK)"	1
"ankara university faculty of veterinary medicine"	"Ankara University Faculty of Veterinary Medicine"	1
"anna aspán"	"Anna Aspán"	1
"anses_lsal"	"ANSES_LSAL"	1
"apha"	"APHa"	1
"assaf.rokney@moh.gov.il"	"assaf.rokney@moh.gov.il"	1
"battisti (izslt)"	"Battisti (IZSLT)"	1
"bavo verhaegen"	"Bavo Verhaegen"	1
"beijing university of agricluture"	"Beijing University of Agricluture"	1
"belgian nuclear research center (sck-cen)"	"BELGIAN NUCLEAR RESEARCH CENTER (SCK-CEN)"	1
"biao kan"	"Biao Kan"	1
"bior"	"BIOR"	1
"brasilia university"	"Brasilia University"	1
"burkhard malorny, federal institute for risk assessment"	"Burkhard Malorny, Federal Institute for Risk Assessment"	1
"c. ragimbeau, lns luxembourg"	"C. ragimbeau, LNS Luxembourg"	1
"carla"	"Carla"	1
"carrillo"	"Carrillo"	1
"cas key laboratory of pathogenic microbiology and immunology institute of microbiology chinese academy of sciences"	"CAS Key Laboratory of Pathogenic Microbiology and Immunology Institute of Microbiology Chinese Academy of Sciences"	1
"catherine carrillo"	"Catherine Carrillo"	1
"catherine ragimbeau"	"Catherine Ragimbeau"	1
"catherine ragimbeau, lns luxembour"	"Catherine Ragimbeau, LNS Luxembour"	1
"catherine.ragimbeau@lms.etat.lu"	"catherine.ragimbeau@lms.etat.lu"	1
"catherine.ragimbeau@lns.etat.lu"	"catherine.ragimbeau@lns.etat.lu"	1
"cc"	"CC"	1
"cenasa"	"CENASA"	1
"center for disease control and prevention - enteric diseases laboratory branch (us)"	"Center for Disease Control and Prevention - Enteric Diseases Laboratory Branch (US)"	1
"center for infectious diseases and microbiology"	"Center for Infectious Diseases and Microbiology"	1
"central research institute of epidemiology, moscow, russia"	"Central Research Institute of Epidemiology, Moscow, Russia"	1
"centre for diease control and prevention - enteric diseases laboratory branch"	"Centre for Diease Control and Prevention - Enteric Diseases Laboratory Branch"	1
"centro nacional de metrologia"	"Centro Nacional de Metrologia"	1
"charl"	"cHARL"	1
"china national center for food safety and risk assessment"	"China National Center For Food Safety and Risk Assessment"	1
"china national center for food safety risk assessment"	"China National Center for Food Safety Risk Assessment"	1
"chinese pla general hospital"	"Chinese PLA general hospital"	1
"christian medical college hospital"	"Christian Medical College Hospital"	1
"christian medical college, vellore"	"Christian Medical College, Vellore"	1
"cm"	"CM"	1
"copenhagen university hospital hvidovre"	"Copenhagen University Hospital Hvidovre"	1
"cphl"	"CPHL"	1
"cunni4me@dukes.jmu.edu"	"cunni4me@dukes.jmu.edu"	1
"cz biohub, ucsf"	"CZ Biohub, UCSF"	1
"david gordon"	"David Gordon"	1
"dele o."	"Dele O."	1
"department of agriculture (us)"	"Department of Agriculture (US)"	1
"department of bacteriology i, national institute of infectious diseases"	"Department of Bacteriology I, National Institute of Infectious Diseases"	1
"dle ogunremi"	"Dle Ogunremi"	1
"doe joint genome institute"	"DOE Joint Genome Institute"	1
"dongguan"	"Dongguan"	1
"dr try"	"Dr Try"	1
"dr. antonio lozano, institute of applied microbiology- asmecruz, galicia, spain"	"Dr. Antonio Lozano, Institute of Applied Microbiology- ASMECRUZ, Galicia, Spain"	1
"dsmz"	"DSMZ"	1
"e. litrup"	"E. Litrup"	1
"edgar mendieta"	"Edgar Mendieta"	1
"eelco.franz@rivm.nl"	"eelco.franz@rivm.nl"	1
"eelco.franz@rivm.nl"	"Eelco.franz@rivm.nl"	1
"enrique delgado suarez"	"Enrique Delgado Suarez"	1
"etz tilburg"	"ETZ Tilburg"	1
"f. boyd"	"F. Boyd"	1
"faculty of health and medical sciences, university of copenhagen"	"Faculty of Health and Medical Sciences, University of Copenhagen"	1
"fcf/usp"	"FCF/USP"	1
"fda-cfsan genometrakr submission group"	"FDA-CFSAN GenomeTrakr submission group"	1
"federal institute for risk assessment"	"Federal Institute for Risk Assessment"	1
"federal university of sao carlos"	"Federal University of Sao Carlos"	1
"fli"	"fli"	1
"food-borne pathogen omics research"	"Food-borne Pathogen Omics Research"	1
"food-borne pathogen omics research center (china)"	"Food-borne Pathogen Omics Research Center (China)"	1
"food-borne pathogen omics research center,forc"	"Food-borne Pathogen Omics Research Center,FORC"	1
"g. jones"	"G. Jones"	1
"genome center"	"Genome Center"	1
"gifu_med"	"GIFU_MED"	1
"h. ochman"	"H. Ochman"	1
"harbin medical university - genomics research center"	"Harbin Medical University - Genomics Research Center"	1
"hefei cdc"	"Hefei CDC"	1
"henczko.juditvnnk.gov.hu"	"henczko.juditvnnk.gov.hu"	1
"hncdc"	"HNCDC"	1
"huyujie@cfsa.net.cn"	"huyujie@cfsa.net.cn"	1
"icmr-national institute of cholera and enteric diseases"	"ICMR-National Institute of Cholera and Enteric Diseases"	1
"ikhimiukor oidon"	"Ikhimiukor Oidon"	1
"ini adebiyi uch, ibadan"	"Ini Adebiyi UCH, Ibadan"	1
"iniav"	"INIAV"	1
"institute adolfo lutz"	"Institute Adolfo Lutz"	1
"institute for microbiology and epizootics, freie university berlin"	"Institute for Microbiology and Epizootics, Freie University Berlin"	1
"institute of food research"	"INSTITUTE OF FOOD RESEARCH"	1
"institute of microbiology"	"Institute of Microbiology"	1
"institute of microbiology, chinese academy of sciences"	"Institute of Microbiology, Chinese Academy of Sciences"	1
"instituto de pesquisa pele pequeno principe"	"Instituto de Pesquisa Pele Pequeno Principe"	1
"j.p.falcao"	"J.P.Falcao"	1
"james b. herrick"	"James B. Herrick"	1
"jamil-ur-rahman center for genome research"	"Jamil-ur-Rahman Center for Genome Research"	1
"jiangsu"	"Jiangsu"	1
"jiangsu key laboratory of zoonosis"	"Jiangsu Key Laboratory of Zoonosis"	1
"jinan centers for disease control and prevention"	"Jinan centers for Disease Control and Prevention"	1
"jinan centres for disease control and prevention"	"Jinan Centres for Disease Control and Prevention"	1
"jinli"	"jinli"	1
"jinyafang"	"jinyafang"	1
"jo"	"Jo"	1
"jo?�l mossong, lns"	"Jo?�l Mossong, LNS"	1
"johannes krause, max plank institute for the science of human history, jena, germany"	"Johannes Krause, Max Plank Institute for the Science of Human History, Jena, Germany"	1
"joint research centre, european commission"	"Joint Research Centre, European Commission"	1
"jose"	"jose"	1
"juan diaz"	"Juan Diaz"	1
"julie.shay@canada.ca"	"julie.shay@canada.ca"	1
"kimron"	"kimron"	1
"korea research institute of bioscience and biotechnology"	"Korea Research Institute of Bioscience and Biotechnology"	1
"ky dept. for public health lab services"	"KY Dept. for Public Health Lab Services"	1
"l bonifait; l. baugé - anses ploufragan"	"L Bonifait; L. Baugé - ANSES Ploufragan"	1
"l. bonifait, anses ploufragan, hqpap unit, france"	"L. Bonifait, Anses Ploufragan, HQPAP Unit, France"	1
"l. moreno"	"L. Moreno"	1
"l.bonifait_hqpap unit_anses ploufragan france"	"L.Bonifait_HQPAP Unit_ANSES Ploufragan FRANCE"	1
"l.bonifait-anses ploufragan -unit?� hqpap-france"	"L.Bonifait-ANSES Ploufragan -Unit?� HQPAP-France"	1
"l.bonifait-anses ploufragan -unité hqpap-france"	"L.Bonifait-ANSES Ploufragan -Unité HQPAP-France"	1
"l.bonifait, l. baugé"	"L.Bonifait, L. Baugé"	1
"laboratoire national de sant�?�"	"Laboratoire National de Sant�?�"	1
"laboratory of bacterial genomics, pathogen genomics center, national institute of infectious diseases"	"Laboratory of Bacterial Genomics, Pathogen Genomics Center, National Institute of Infectious Diseases"	1
"lanzhou veterinary research institute"	"Lanzhou Veterinary Research Institute"	1
"leon university"	"Leon University"	1
"lexleong"	"LexLeong"	1
"lili li"	"Lili LI"	1
"liu yahong`"	"Liu Yahong`"	1
"liujiang(hncdc)"	"Liujiang(HNCDC)"	1
"lmu munich"	"LMU Munich"	1
"lrec"	"LREC"	1
"ma"	"Ma"	1
"maaike van den beld"	"Maaike van den Beld"	1
"maansan cdc"	"maansan CDC"	1
"maanshan cdc"	"maanshan CDC"	1
"macquarie university"	"Macquarie University"	1
"magaly toro"	"Magaly Toro"	1
"magdalena zaj?�c, nvri"	"Magdalena Zaj?�c, NVRI"	1
"maria laura casaux (uruguay)"	"Maria Laura Casaux (Uruguay)"	1
"mathieu.gand@wiv-isp.be"	"mathieu.gand@wiv-isp.be"	1
"mattheus"	"Mattheus"	1
"max rubner-institut, mbt kiel, mr. fiedler"	"Max Rubner-Institut, MBT Kiel, Mr. Fiedler"	1
"mcmaster university"	"McMaster University"	1
"me"	"me"	1
"meiying yan(chian cdc)"	"Meiying Yan(Chian CDC)"	1
"mgi"	"MGI"	1
"ministry of health"	"Ministry of Health"	1
"mississippi state university"	"Mississippi State University"	1
"mkhitar mrktchyan"	"Mkhitar Mrktchyan"	1
"moh"	"MOH"	1
"mohammed"	"MOHAMMED"	1
"mohammedsd4"	"MohammedSD4"	1
"nanjing agricultural university"	"Nanjing Agricultural University"	1
"national biodefense analysis and countermeasures center (us)"	"National Biodefense Analysis and Countermeasures Center (US)"	1
"national institute for communanthony smith, nicdicable diseases"	"National Institute for CommunAnthony Smith, NICDicable Diseases"	1
"national institute of environmental research"	"National Institute of Environmental Research"	1
"national institute of infectious diseases"	"National Institute of Infectious Diseases"	1
"national institute of technology and evaluation"	"National Institute of Technology and Evaluation"	1
"national institutes for food and drug control (nifdc)"	"National Institutes for food and drug Control (NIFDC)"	1
"national laboratory for health, environment and food"	"National Laboratory for Health, Environment and food"	1
"national laboratory for health, environment and food"	"National Laboratory for Health, Environment and Food"	1
"national reference center, sciensano, belgium"	"National Reference Center, Sciensano, Belgium"	1
"national veterinary research institute"	"National Veterinary Research Institute"	1
"ncsu"	"NCSU"	1
"nick petronella"	"Nick Petronella"	1
"niph"	"niph"	1
"niph ceechia"	"NIPH Ceechia"	1
"niph czech"	"NIPH Czech"	1
"niph_czechia"	"NIPH_Czechia"	1
"niphczechia-"	"NIPHCzechia-"	1
"north west university potchefstroom"	"North West University Potchefstroom"	1
"northwest a&f univ"	"Northwest A&F univ"	1
"nvri, m.zając"	"NVRI, M.Zając"	1
"okinawa institute of advanced sciences"	"Okinawa Institute of Advanced Sciences"	1
"p. gymoese (statens serum institut, denmark)"	"P. Gymoese (Statens Serum Institut, Denmark)"	1
"pathwest laboratory medicine wa"	"PathWest Laboratory Medicine WA"	1
"patricia-r-f@hotmail.com"	"patricia-r-f@hotmail.com"	1
"plateau state university, bokkos"	"Plateau State University, Bokkos"	1
"pte medical microbiology"	"PTE Medical Microbiology"	1
"public health agency of sweden"	"Public Health Agency of Sweden"	1
"public health england, marie chattaway"	"Public Health England, Marie Chattaway"	1
"qilu university of technology"	"Qilu University of Technology"	1
"qinning wang"	"Qinning Wang"	1
"quadram institute"	"Quadram Institute"	1
"r graham"	"R Graham"	1
"r. karpiskova (vri brno)"	"R. Karpiskova (VRI Brno)"	1
"r.r.vandenberg@nvwa.nl"	"r.r.vandenberg@nvwa.nl"	1
"rachel hodgdeman"	"Rachel Hodgdeman"	1
"rajat dhakal"	"Rajat Dhakal"	1
"renato orsi"	"Renato Orsi"	1
"richard goater"	"Richard Goater"	1
"robert koch insitute"	"Robert Koch Insitute"	1
"s. kim (nifds, korea)"	"S. Kim (NIFDS, Korea)"	1
"s. porwollik"	"S. Porwollik"	1
"s. simon, rki"	"S. Simon, RKI"	1
"s. strain (afbini)"	"S. Strain (AFBINI)"	1
"s.simon (rki)"	"S.Simon (RKI)"	1
"s.simon, rki"	"S.Simon, RKI"	1
"salmonella reference section,phe,colindale,u.k m.chattaway"	"Salmonella Reference Section,PHE,Colindale,U.K M.Chattaway"	1
"salmonella reference section,phe,colindale,u.k(m.chattaway)"	"Salmonella Reference Section,PHE,Colindale,U.K(M.Chattaway)"	1
"samir saha/child health research foundation"	"Samir Saha/Child Health Research Foundation"	1
"sanger nctc3000"	"Sanger NCTC3000"	1
"sassari university, fpiras@uniss.it"	"Sassari university, fpiras@uniss.it"	1
"sela"	"Sela"	1
"shandong academy of agricultural sciences"	"Shandong academy of agricultural sciences"	1
"shanghai east hospital"	"Shanghai East Hospital"	1
"shlomo blum"	"Shlomo Blum"	1
"shlomo sela lab"	"Shlomo sela lab"	1
"sichuan"	"sichuan"	1
"sichuan"	"SICHUAN"	1
"sichuan unicersity"	"SICHUAN UNICERSITY"	1
"sichun university"	"SICHUN UNIVERSITY"	1
"simon, sandra rki"	"Simon, Sandra RKI"	1
"simons@rki.de"	"SimonS@rki.de"	1
"singapore nphl"	"Singapore NPHL"	1
"ssi"	"SSI"	1
