snp-dists 0.6.3,SIML_2017_04,MD_7_B2,MD_6_A8,MD_6_D11,SG19_233_Sal,ISLHD_2017_16_S87,ISLHD_2018_16_S105,MD_6_G10,SIML_2019_06,ISLHD_2018_17_S106,MD_6_F10,ISLHD_2019_20,ISLHD_2018_4_S93,ISLHD_2017_12_S83,ISLHD_2017_1_S76,Seagull_18_220_S109,SG19_238_Sal,Seagull_18_206_S47,MD_6_G9,ISLHD_2019_14,SIML_2017_07,ISLHD_2018_11_S100,MD_6_G11,SIML_2017_21,SIML_2019_14,ISLHD_2017_10_S81,MD_7_D2,MD_7_F2,ISLHD_2017_6_S119,ISLHD_2018_2_S91,MD_6_A11,SIML_2017_16,Seagull_18_255_S68,MD_6_E8,Seagull_18_163_1_S37,Seagull_18_172_S40,ISLHD_2019_17,W_1_D11,MD_7_G1,SG19_397_Sal,SG19_084_Sal,ISLHD_2019_30,W_1_F11,SIML_2017_13,SG19_284_Sal,ISLHD_2018_15_S104,ISLHD_2019_09,W_1_C11,SG19_288_Sal,MD_6_H10,MD_7_H2,ISLHD_2019_06,W_1_H11,MD_6_D9,SG19_182_Sal,SG19_298_Sal,SIML_2017_24,ISLHD_2019_27,SIML_2017_17,MD_6_H8,ISLHD_2017_14_S85,ISLHD_2019_15,MD_6_C10,SIML_2017_22,MD_6_B9,SIML_2017_18,ISLHD_2017_9_S80,ISLHD_2019_29,MD_6_C9,ISLHD_2019_28,SG19_380_Sal,MD_6_C12,MD_6_H11,SIML_2019_09,MD_6_F12,ISLHD_2018_5_S94,SG19_334_Sal,ISLHD_2019_03,MD_7_A2,Seagull_18_96_1_S14,ISLHD_2017_11_S82,MD_7_A1,ISLHD_2019_22,Seagull_18_124_1_S26,SIML_2019_04,ISLHD_2019_19,SIML_2017_02,SIML_2017_10,SG19_269_Sal,ISLHD_2018_6_S95,ISLHD_2017_8_S79,ISLHD_2017_2_S116,ISLHD_2017_18_S89,SIML_2017_08,W_1_B11,SIML_2019_11,SIML_2017_01,ISLHD_2017_7_S78,SIML_2019_15,MD_6_H9,SG19_171_Sal,MD_6_A9,SIML_2017_05,MD_7_G2,Seagull_18_240_1_S58,ISLHD_2019_18,MD_7_F1,ISLHD_2019_16,ISLHD_2019_10,ISLHD_2019_08,Seagull_18_132_1_S29,ISLHD_2018_10_S99,SIML_2019_13,W_1_G11,Seagull_18_90_1_S9,ISLHD_2017_15_S86,ISLHD_2019_23,ISLHD_2018_3_S92,SG19_400_Sal,SG19_116_05_E_coli,ISLHD_2017_3_S117,MD_6_B12,ISLHD_2018_12_S101,MD_6_B8,Seagull_18_165_S107,MD_6_A12,MD_6_E12,MD_6_B10,ISLHD_2018_9_S98,MD_6_F9,ISLHD_2019_01,ISLHD_2019_11,MD_7_A3,ISLHD_2017_17_S88,SIML_2019_07,ISLHD_2019_12,ISLHD_2018_8_S97,MD_6_C8,MD_6_E11,W_1_E11,SIML_2019_08,ISLHD_2017_5_S77,MD_6_D8,ISLHD_2019_13,MD_7_C2,MD_7_C1,MD_7_E2,MD_6_D12,MD_6_E9,MD_6_E10,ISLHD_2017_13_S84,SIML_2017_23,ISLHD_2019_07,SG19_116_Sal,SIML_2017_14,SIML_2019_03,ISLHD_2019_24,ISLHD_2018_7_S96,SIML_2019_10,SIML_2019_12,SIML_2017_06,SG19_292_Sal,ISLHD_2019_21,SIML_2017_15,SG19_327_Sal,ISLHD_2017_4_S118,SIML_2017_09,SIML_2017_03,MD_6_C11,Seagull_18_100_1_S16,ISLHD_2019_05,ISLHD_2019_04,SIML_2017_11,ISLHD_2018_13_S102,Seagull_18_117_1_S21,ISLHD_2019_02,MD_6_F8,ISLHD_2019_25,SIML_2017_19,ISLHD_2018_14_S103,MD_6_H7,MD_6_G8,MD_6_F11,SIML_2019_05,MD_6_B11,MD_7_B1,Seagull_18_190_1_S42,SIML_2019_02,ISLHD_2018_1_S90,MD_7_D1,ISLHD_2019_26
SIML_2017_13,33588,33826,33818,33818,34381,33758,33825,33817,34198,30463,33825,33475,33120,33581,34131,34061,34854,34061,33818,33697,33119,33736,39137,38766,33071,30834,33711,28413,32877,33779,33818,33090,34061,33565,34062,34062,48,54,28412,30070,32955,33080,49,0,32856,33796,54,34540,32963,30102,33077,33811,30461,38829,33916,66,27156,33070,33707,37288,33568,33716,33827,33830,33703,33822,33822,33767,38829,33647,33755,33825,33818,33123,33068,34238,34385,33581,33819,34333,33757,33818,38844,38630,33117,37983,32801,33691,38533,33780,38883,33478,33644,38515,35338,33642,33090,33698,33577,33538,33839,33817,33653,32802,34062,33577,33821,30462,33272,33592,34745,33753,33646,33613,34061,33126,33572,33645,33755,34381,33759,33706,30466,33825,34062,33955,33068,33826,33825,30465,32807,30465,28479,33576,38998,3,33577,33583,33826,34541,33775,33580,33825,50,33818,33712,37288,28412,33956,37289,33577,33735,38515,34381,31369,130920,34544,33749,33123,33109,33822,30071,33755,33119,30643,39166,33805,33828,33828,33658,32800,32851,28440,30656,34061,33826,33634,34429,33825,33571,33583,33817,37698,33753,33817,30649,33947,33497,33826,33068,33445
SG19_284_Sal,29547,29776,29769,29769,30018,29716,29779,29769,29419,31123,29775,30857,30636,29939,29884,30010,31027,30010,29770,29881,30635,29693,38582,38103,28740,32283,29889,31951,537,29905,29770,30598,30010,29532,30011,30011,32864,32870,31950,32163,28852,28749,32865,32856,0,29738,32870,28403,28858,30665,28746,29767,31121,38769,30863,32882,32639,28741,29886,35779,30946,29898,29777,29787,29883,29774,29774,29896,38769,29826,29711,29775,29770,30639,28737,28699,30022,29929,29771,29983,29717,29770,38786,38484,30635,39414,461,30049,38450,29966,38833,30860,29829,38551,31230,30015,30598,30056,29935,30918,29792,29769,29832,462,30011,29935,29773,31122,30537,29549,30607,29709,29825,29401,30010,30642,29932,29829,29711,30018,29710,29886,31126,29775,30011,29644,28737,29776,29776,31125,467,31125,32016,29934,38842,32859,29533,29540,29776,28404,29726,29940,29775,32866,29770,29890,35779,31950,29647,35780,29935,29692,38551,30018,32304,130509,29893,29703,30639,30625,29776,32164,29713,30635,32094,38284,29935,29785,29785,29837,460,25,31979,32105,30010,29783,29429,30006,29777,29929,29540,29769,36194,29709,29769,32100,30124,30881,29783,28737,30358
ISLHD_2018_15_S104,14460,409,401,401,27597,345,408,400,26137,32282,408,28371,28248,27970,27275,654,1681,654,401,510,28247,319,39563,38933,28512,33707,522,32531,29850,26973,401,28213,654,14445,655,655,33804,33810,32530,32917,28624,28521,33805,33796,29738,0,33810,26915,28630,31938,28518,396,32280,38925,27735,33821,33714,28512,520,35649,28469,529,410,418,514,405,405,26960,38925,500,340,408,401,28251,28509,26182,27601,27960,402,28053,346,401,38936,38800,28247,39439,29776,27117,39873,27513,38986,28374,455,39786,30026,8516,28213,27124,27966,28439,424,400,506,29777,655,27966,404,32281,26943,14462,29967,338,501,26115,654,28251,27965,461,340,27597,384,517,32285,408,655,26781,28509,409,408,32284,29782,32284,32600,27965,39349,33799,14447,14453,409,26916,400,27968,408,33806,401,523,35649,32530,26784,35650,27966,318,39786,27597,33188,130392,27510,331,28251,28237,405,32918,340,28247,33522,39197,27003,416,416,511,29775,29731,32558,33533,654,414,26135,27623,408,27960,14453,400,36069,340,400,33527,768,28393,414,28509,28060
ISLHD_2019_09,33602,33850,33842,33842,34395,33782,33849,33841,34212,30477,33849,33489,33134,33605,34155,34085,34878,34085,33842,33721,33133,33760,39161,38780,33085,30848,33735,28427,32891,33793,33842,33104,34085,33589,34086,34086,62,6,28426,30084,32969,33094,63,54,32870,33810,0,34564,32977,30126,33091,33835,30475,38841,33930,80,27170,33084,33731,37302,33582,33740,33851,33854,33727,33846,33846,33781,38841,33671,33779,33849,33842,33137,33082,34252,34399,33595,33843,34347,33781,33842,38856,38642,33131,37997,32815,33705,38547,33794,38905,33492,33668,38529,35352,33656,33104,33712,33601,33552,33863,33841,33677,32816,34086,33601,33845,30476,33286,33606,34759,33777,33670,33627,34085,33140,33596,33669,33779,34395,33783,33730,30480,33849,34086,33979,33082,33850,33849,30479,32821,30479,28493,33600,39022,57,33591,33597,33850,34565,33799,33604,33849,22,33842,33736,37302,28426,33980,37303,33601,33759,38529,34395,31383,130939,34558,33773,33137,33123,33846,30085,33779,33133,30657,39178,33819,33852,33852,33682,32814,32865,28454,30670,34085,33850,33648,34443,33849,33595,33597,33841,37712,33777,33841,30663,33971,33511,33850,33082,33459
W_1_C11,26693,26948,26939,26939,28394,26883,26947,26938,27769,33401,26947,29076,28657,28200,28344,27189,27971,27189,26939,26821,28656,26855,38782,39269,29046,34225,26833,33584,28482,27995,26939,28622,27189,26668,27190,27190,34558,34564,33583,33749,28930,29053,34559,34540,28403,26915,34564,0,28936,32973,29052,26935,33399,39192,27941,34575,33924,29047,26829,36193,29165,26838,26949,26955,26824,26943,26943,27982,39192,26772,26876,26947,26939,28660,29043,27462,28398,28200,26940,27420,26884,26939,39207,39539,28656,39882,28406,27911,39255,27463,39246,29079,26762,39317,29962,26926,28622,27918,28196,29137,26960,26938,26778,28407,27190,28196,26942,33400,28496,26695,30496,26874,26771,27888,27189,28663,28192,26770,26876,28394,26884,26827,33404,26947,27190,27489,29043,26948,26946,33403,28412,33403,33649,28195,39140,34543,26680,26686,26948,1,26898,28201,26947,34560,26939,26834,36193,33583,27492,36194,28196,26854,39317,28394,34421,130385,28096,26867,28660,28646,26944,33750,26876,28656,34034,39417,28025,26953,26953,26783,28405,28396,33609,34045,27189,26951,27909,27981,26947,28190,26686,26938,36610,26874,26938,34040,27075,29101,26951,29043,28111
SG19_288_Sal,28738,28667,28660,28660,30148,28605,28667,28659,29304,32886,28666,30062,31188,30366,29438,28905,29692,28905,28660,28541,31187,28581,38994,39313,148,34354,28552,32995,28854,30090,28660,31153,28905,28723,28906,28906,32971,32977,32994,33653,33,157,32972,32963,28858,28630,32977,28936,0,32262,154,28655,32884,39447,30438,32987,32631,149,28548,37237,30154,28558,28668,28676,28545,28664,28664,30079,39447,28491,28600,28666,28660,31191,145,28340,30152,30357,28661,29543,28606,28660,39454,39384,31185,40117,28779,30005,39174,30099,39507,30065,28488,39254,31082,28450,31153,30014,30362,30124,28685,28659,28497,28780,28906,30362,28663,32885,28820,28738,31905,28598,28490,29859,28905,31193,30361,28492,28600,30148,28603,28548,32889,28666,28906,29541,145,28667,28667,32888,28785,32888,33061,30361,39468,32966,28725,28731,28667,28937,28617,30366,28666,32973,28660,28553,37237,32994,29544,37238,30362,28580,39254,30148,33894,130864,29252,28592,31191,31177,28664,33654,28602,31187,34163,39363,30119,28674,28674,28502,28778,28851,33024,34174,28905,28672,29881,29137,28667,30356,28731,28659,37657,28598,28659,34168,28791,30082,28672,145,29602
MD_6_H10,31921,31966,31959,31959,32584,31906,31968,31958,32701,15679,31965,33908,32950,32015,33737,32207,32992,32207,31959,31842,32949,31878,37494,36876,32372,31050,31851,28857,30681,32310,31959,32918,32207,31898,32208,32208,30120,30126,28856,29875,32255,32379,30121,30102,30665,31938,30126,32973,32262,0,32378,31956,15677,36835,33242,30137,30519,32371,31848,36608,34010,31859,31967,31977,31844,31963,31963,32300,36835,31789,31900,31965,31959,32951,32369,32812,32588,32015,31960,32313,31907,31959,36848,36616,32949,37441,30606,32226,37513,32177,36888,33911,31786,37563,33484,31796,32918,32233,32011,33976,31981,31958,31795,30607,32208,32011,31962,15678,33285,31923,33183,31898,31788,32249,32207,32956,32010,31791,31900,32584,31901,31847,15682,31965,32208,32253,32369,31966,31966,15681,30612,15681,28926,32010,37389,30105,31910,31913,31966,32974,31917,32014,31965,30122,31959,31852,36608,28856,32256,36609,32011,31877,37563,32584,30454,130106,32894,31892,32951,32939,31965,29876,31899,32949,30859,37182,32340,31975,31975,31800,30605,30658,28885,30872,32207,31973,32274,32779,31966,32005,31913,31958,37018,31898,31958,30864,32093,33937,31973,32369,33458
MD_7_H2,28624,28555,28548,28548,30034,28493,28555,28547,29192,32772,28554,29948,31076,30250,29326,28793,29808,28793,28548,28657,31075,28469,39107,39197,28,34240,28668,33109,28742,29978,28548,31041,28793,28609,28794,28794,33085,33091,33108,33539,141,37,33086,33077,28746,28518,33091,29052,154,32378,0,28543,32770,39334,30322,33101,32743,29,28664,37125,30040,28674,28556,28564,28661,28552,28552,29967,39334,28607,28488,28554,28548,31079,25,28228,30038,30241,28549,29427,28494,28548,39341,39271,31073,40005,28667,30121,39287,30215,39394,29951,28604,39368,31198,28564,31041,30130,30246,30010,28573,28547,28613,28668,28794,30246,28551,32771,28704,28624,31790,28486,28606,29747,28793,31081,30245,28608,28488,30034,28491,28664,32775,28554,28794,29427,25,28555,28555,32774,28673,32774,33175,30245,39352,33080,28611,28617,28555,29053,28505,30250,28554,33087,28548,28669,37125,33108,29430,37126,30246,28468,39368,30034,33780,130977,29136,28480,31079,31065,28552,33540,28490,31075,34049,39249,30007,28562,28562,28618,28666,28739,33138,34060,28793,28560,29769,29249,28555,30240,28617,28547,37545,28486,28547,34054,28907,29968,28560,25,29486
ISLHD_2019_06,14485,57,49,49,27631,361,56,48,26162,32312,56,28400,28275,27993,27291,490,1329,490,49,120,28274,335,39577,38956,28537,33733,170,32558,29879,26999,49,28240,490,14460,491,491,33829,33835,32557,32946,28649,28546,33830,33811,29767,396,33835,26935,28655,31956,28543,0,32310,38945,27762,33846,33742,28537,168,35677,28498,177,58,286,162,53,53,26986,38945,516,356,56,49,28278,28534,26212,27635,27993,50,28076,362,49,38956,38822,28274,39459,29805,27143,39896,27538,38996,28403,471,39814,30057,8541,28240,27150,27989,28468,156,48,522,29806,491,27989,52,32311,26970,14487,29992,354,517,26147,490,28278,27988,477,356,27631,400,165,32315,56,491,26803,28534,57,56,32314,29811,32314,32627,27988,39359,33814,14472,14478,57,26936,416,27991,56,33831,49,171,35677,32557,26806,35678,27989,334,39814,27631,33215,130410,27534,347,28278,28264,45,32947,356,28274,33548,39221,27029,284,284,527,29804,29760,32585,33559,490,282,26167,27647,56,27983,14478,48,36097,356,48,33553,604,28422,282,28534,28090
W_1_H11,32138,32322,32315,32315,32732,32257,32322,32314,32895,6,32321,34090,32625,32168,33921,32561,33580,32561,32315,32424,32624,32232,37990,37129,32764,31699,32435,28938,31146,32551,32315,32593,32561,32125,32562,32562,30467,30475,28937,29643,32875,32771,30470,30461,31121,32280,30475,33399,32884,15677,32770,32310,0,37109,33425,30486,30857,32763,32432,35961,34190,32441,32323,32328,32428,32319,32317,32542,37109,32371,32253,32321,32315,32626,32761,33122,32736,32158,32316,32842,32258,32315,37121,36787,32624,37630,31071,32691,37353,32666,37172,34093,32366,37456,34180,32397,32593,32698,32164,34158,32335,32314,32377,31072,32562,32164,32318,7,32640,32140,33415,32251,32370,32417,32561,32631,32169,32370,32253,32732,32255,32431,9,32321,32562,32735,32761,32322,32322,8,31077,8,29007,32163,37445,30464,32127,32131,32322,33400,32271,32167,32321,30471,32315,32436,35961,28937,32738,35962,32164,32231,37456,32732,30830,130490,33056,32246,32626,32614,32319,29644,32252,32624,31508,37479,32577,32326,32328,32382,31070,31114,28966,31521,32561,32324,32441,33169,32322,32166,32131,32314,36375,32251,32314,31513,32675,34116,32324,32761,33371
MD_6_D9,38816,38958,38949,38949,39280,38901,38957,38949,39298,37111,38957,39859,39608,39174,39435,39188,40214,39188,38950,39057,39607,38875,23316,21981,39328,37067,39071,37304,38793,39033,38950,39577,39188,38805,39189,39189,38835,38841,37303,37137,39440,39335,38836,38829,38769,38925,38841,39192,39447,36835,39334,38945,37109,0,39505,38852,39291,39327,39065,41710,39953,39076,38959,38965,39063,38954,38954,39019,0,39012,38895,38957,38950,39611,39325,39520,39284,39164,38951,38523,38902,38950,157,6342,39607,14369,38716,39168,23966,38677,211,39862,39011,24364,40320,39264,39575,39175,39170,39923,38972,38949,39018,38719,39189,39170,38953,37110,39809,38822,39838,38893,39011,38986,39188,39614,39166,39014,38895,39280,38896,39066,37114,38957,39189,39383,39325,38958,38957,37113,38724,37113,37369,39169,23287,38832,38807,38810,38958,39193,38910,39173,38957,38837,38950,39072,41710,37303,39386,41711,39170,38874,24364,39280,36182,130273,39245,38886,39611,39597,38952,37138,38896,39607,36874,22545,39054,38963,38965,39023,38717,38764,37332,36885,39188,38963,39006,39358,38957,39166,38810,38949,42127,38893,38949,36880,39302,39881,38963,39325,40148
SG19_182_Sal,27354,27770,27763,27763,28867,27708,27774,27762,26817,33427,27769,28959,28331,29182,28054,28013,29027,28013,27763,27876,28330,27682,39865,39925,30316,33543,27883,33606,30936,28382,27763,28296,28013,27339,28014,28014,33922,33930,33605,34010,30428,30325,33923,33916,30863,27735,33930,27941,30438,33242,30322,27762,33425,39505,0,33940,34047,30317,27880,35521,29053,27893,27771,27778,27876,27767,27767,28369,39505,27819,27704,27769,27763,28334,30313,27922,28871,29172,27764,28309,27709,27763,39518,39764,28330,39020,30861,28524,40688,27935,39567,28962,27815,40670,30764,27721,28296,28531,29178,29021,27790,27762,27825,30862,28014,29178,27766,33426,27977,27356,31123,27702,27818,26539,28013,28335,29171,27824,27704,28867,27703,27879,33430,27769,28014,27777,30313,27770,27770,33429,30867,33429,33672,29177,39887,33919,27341,27347,27770,27942,27719,29183,27769,33926,27763,27884,35521,33605,27780,35522,29178,27681,40670,28867,34398,130617,28518,27694,28334,28320,27771,34011,27703,28330,33351,40332,28410,27776,27778,27830,30860,30856,33633,33362,28013,27774,26559,28631,27770,29172,27347,27762,35944,27702,27762,33357,28127,28985,27774,30313,28712
SG19_298_Sal,33613,33861,33853,33853,34405,33793,33860,33852,34223,30488,33860,33498,33143,33617,34164,34096,34889,34096,33853,33732,33142,33771,39172,38791,33095,30859,33746,28437,32903,33805,33853,33113,34096,33600,34097,34097,74,80,28436,30094,32979,33104,75,66,32882,33821,80,34575,32987,30137,33101,33846,30486,38852,33940,0,27182,33094,33742,37314,33591,33751,33862,33865,33738,33857,33857,33793,38852,33682,33790,33860,33853,33146,33092,34263,34409,33607,33854,34359,33792,33853,38867,38653,33140,38006,32827,33717,38557,33805,38916,33501,33679,38539,35364,33667,33113,33724,33613,33561,33874,33852,33688,32828,34097,33613,33856,30487,33295,33617,34771,33788,33681,33639,34096,33149,33608,33680,33790,34405,33794,33741,30491,33860,34097,33989,33092,33861,33860,30490,32833,30490,28503,33612,39033,69,33602,33608,33861,34576,33810,33616,33860,76,33853,33747,37314,28436,33990,37315,33613,33770,38539,34405,31393,130952,34570,33784,33146,33132,33857,30095,33790,33142,30668,39189,33831,33863,33863,33693,32826,32877,28464,30681,34096,33861,33660,34455,33860,33607,33608,33852,37724,33788,33852,30674,33982,33520,33861,33092,33467
SIML_2017_24,33537,33754,33747,33747,34520,33685,33754,33746,33723,30859,33753,33057,33135,33593,33595,33988,34784,33988,33747,33628,33136,33664,39245,39103,32737,30720,33639,28486,32641,33905,33747,33097,33988,33524,33989,33989,27164,27170,28485,30295,32621,32746,27165,27156,32639,33714,27170,33924,32631,30519,32743,33742,30857,39291,34047,27182,0,32737,33637,36834,33151,33647,33755,33759,33632,33751,33750,33892,39291,33573,33682,33753,33747,33136,32734,33786,34524,33585,33748,34117,33686,33747,39305,39264,33132,38456,32567,33816,38178,33880,39354,33060,33569,38310,34868,33815,33097,33823,33589,33119,33765,33746,33579,32568,33989,33589,33750,30858,33201,33541,34568,33680,33574,33864,33988,33141,33587,33572,33682,34520,33685,33635,30862,33753,33989,34186,32734,33754,33754,30861,32573,30861,28553,33588,39040,27159,33526,33532,33754,33925,33699,33592,33753,27166,33747,33640,36834,28485,34189,36835,33589,33663,38310,34520,31634,130739,34317,33676,33136,33126,33751,30296,33682,33134,30530,39369,33930,33757,33757,33584,32566,32634,28508,30543,33988,33755,33883,34202,33754,33583,33532,33746,37249,33682,33746,30536,33874,33083,33755,32734,32859
ISLHD_2019_27,28618,28549,28542,28542,30028,28487,28549,28541,29185,32765,28548,29941,31070,30244,29321,28787,29802,28787,28542,28651,31069,28463,39100,39190,1,34235,28662,33103,28737,29972,28542,31035,28787,28603,28788,28788,33078,33084,33102,33532,134,30,33079,33070,28741,28512,33084,29047,149,32371,29,28537,32763,39327,30317,33094,32737,0,28658,37119,30035,28668,28550,28558,28655,28546,28546,29961,39327,28601,28482,28548,28542,31073,6,28223,30032,30235,28543,29421,28488,28542,39334,39264,31067,39998,28662,30115,39281,30209,39389,29944,28598,39362,31192,28557,31035,30124,30240,30005,28567,28541,28607,28663,28788,30240,28545,32764,28698,28618,31785,28480,28600,29742,28787,31075,30239,28602,28482,30028,28485,28658,32768,28548,28788,29422,6,28549,28549,32767,28668,32767,33170,30239,39345,33073,28605,28611,28549,29048,28499,30244,28548,33080,28542,28663,37119,33102,29425,37120,30240,28462,39362,30028,33774,130968,29130,28474,31073,31059,28546,33533,28484,31069,34044,39243,30001,28556,28556,28612,28661,28734,33132,34055,28787,28554,29764,29243,28549,30234,28611,28541,37539,28480,28541,34049,28901,29961,28554,6,29481
SIML_2017_17,14607,169,141,141,27753,485,176,140,26285,32434,168,28520,28399,28117,27415,614,1193,614,141,54,28398,459,39469,39076,28658,33855,54,32452,29998,27123,141,28364,614,14582,615,615,33725,33731,32451,33070,28542,28667,33726,33707,29886,520,33731,26829,28548,31848,28664,168,32432,39065,27880,33742,33637,28658,0,35801,28618,67,170,410,26,145,145,27110,39065,412,480,168,141,28402,28655,26334,27757,28117,142,28200,486,141,39076,38942,28398,39579,29924,27039,39788,27431,39116,28523,367,39706,29949,8435,28364,27046,28113,28588,280,140,418,29925,615,28113,144,32433,27092,14609,30113,478,411,26271,614,28402,28112,373,480,27753,524,29,32437,168,615,26923,28655,169,150,32436,29930,32436,32521,28112,39479,33710,14594,14600,169,26830,540,28115,168,33727,141,55,35801,32451,26926,35802,28113,458,39706,27753,33337,130309,27654,471,28402,28388,177,33071,480,28398,33670,39341,27153,408,408,423,29923,29879,32479,33681,614,406,26291,27539,144,28107,14600,140,36221,478,140,33675,500,28542,406,28655,28214
MD_6_H8,35839,35689,35681,35681,35484,35621,35689,35681,35517,35963,35688,36359,35592,35885,35769,35927,36944,35927,35682,35791,35591,35604,42134,41628,37119,37291,35802,36812,35872,35792,35682,35560,35927,35822,35928,35928,37294,37302,36811,36680,37230,37128,37295,37288,35779,35649,37302,36193,37237,36608,37125,35677,35961,41710,35521,37314,36834,37119,35801,0,36455,35810,35690,35690,35795,35686,35684,35785,41710,35736,35619,35688,35682,35593,37116,35870,35488,35875,35683,35965,35620,35682,41725,41469,35590,41100,35796,35939,41281,36012,41775,36360,35738,41504,35473,36104,35560,35946,35881,36425,35701,35681,35742,35797,35928,35881,35685,35962,35817,35841,34664,35618,35737,35664,35927,35598,35877,35734,35619,35484,35620,35798,35966,35688,35928,36215,37116,35689,35689,35965,35802,35965,36879,35880,41622,37291,35826,35831,35689,36194,35636,35884,35688,37298,35682,35803,0,36811,36218,1,35881,35603,41504,35484,37424,131105,36184,35614,35593,35581,35686,36681,35618,35591,37103,41433,35825,35688,35694,35747,35795,35772,36839,37116,35927,35688,35688,36297,35689,35875,35831,35681,450,35620,35681,37109,36041,36385,35688,37116,36351
ISLHD_2017_14_S85,28216,28505,28499,28499,29064,28441,28510,28498,28561,34192,28504,177,29585,30100,28037,28748,29759,28748,28499,28612,29584,28418,40028,40122,30034,34777,28618,34249,30954,27620,28499,29547,28748,28200,28749,28749,33576,33582,34248,34995,30146,30043,33577,33568,30946,28469,33582,29165,30154,34010,30040,28498,34190,39953,29053,33591,33151,30035,28618,36455,0,28631,28506,28510,28612,28503,28503,27606,39953,28558,28435,28504,28499,29588,30031,28694,29068,30090,28500,30109,28440,28499,39966,39890,29582,39565,31016,27756,40410,29895,39876,180,28553,40443,31032,28217,29547,27766,30096,98,28526,28498,28564,31019,28749,30096,28502,34191,28539,28217,31477,28433,28559,28864,28748,29589,30094,28556,28435,29064,28442,28615,34195,28504,28749,28712,30031,28505,28505,34194,31024,34194,34177,30095,39913,33571,28202,28206,28505,29166,28456,30101,28504,33578,28499,28619,36455,34248,28715,36456,30096,28417,40443,29064,35376,130738,29682,28428,29588,29574,28505,34996,28434,29584,34588,39990,27642,28508,28512,28569,31017,30939,34275,34599,28748,28506,28888,29795,28506,30090,28206,28498,36872,28435,28498,34593,28862,284,28506,30031,27691
ISLHD_2019_15,14616,186,178,178,27762,494,125,177,26295,32443,185,28533,28408,28126,27424,623,1230,623,178,63,28407,468,39480,39085,28668,33864,71,32463,30010,27132,178,28373,623,14591,624,624,33734,33740,32462,33079,28552,28677,33735,33716,29898,529,33740,26838,28558,31859,28674,177,32441,39076,27893,33751,33647,28668,67,35810,28631,0,187,419,63,182,182,27119,39076,421,489,185,178,28411,28665,26345,27766,28126,179,28209,495,178,39087,38953,28407,39590,29936,27048,39797,27441,39127,28536,376,39717,29962,8444,28373,27055,28122,28601,289,177,427,29937,624,28122,181,32442,27101,14618,30122,487,420,26280,623,28411,28121,382,489,27762,533,66,32446,185,624,26934,28665,186,185,32445,29942,32445,32532,28121,39490,33719,14603,14609,186,26839,549,28124,185,33736,178,72,35810,32462,26937,35811,28122,467,39717,27762,33346,130322,27665,480,28411,28397,186,33080,489,28407,33679,39352,27162,417,417,432,29935,29891,32490,33690,623,415,26300,27550,185,28116,14609,177,36230,487,177,33684,509,28555,415,28665,28222
MD_6_C10,14497,3,51,51,27645,375,66,50,26174,32325,2,28408,28285,28006,27300,504,1331,504,51,172,28284,349,39590,38969,28550,33744,116,32569,29889,27008,51,28250,504,14472,505,505,33845,33851,32568,32959,28662,28559,33846,33827,29777,410,33851,26949,28668,31967,28556,58,32323,38959,27771,33862,33755,28550,170,35690,28506,187,0,300,164,55,55,26995,38959,530,370,4,51,28288,28547,26221,27649,28006,52,28090,376,51,38970,38836,28284,39473,29815,27152,39909,27550,39010,28411,485,39827,30064,8555,28250,27159,28002,28476,170,50,536,29816,505,28002,54,32324,26982,14499,30001,368,531,26160,504,28288,28001,491,370,27645,414,167,32328,2,505,26812,28547,3,58,32327,29821,32327,32638,28001,39372,33830,14484,14490,1,26950,430,28004,2,33847,51,117,35690,32568,26815,35691,28002,348,39827,27645,33228,130425,27541,361,28288,28274,67,32960,370,28284,33559,39234,27038,298,298,541,29814,29770,32596,33570,504,296,26180,27654,58,27996,14490,50,36110,370,50,33564,618,28430,296,28547,28103
SIML_2017_22,14507,299,291,291,27648,379,298,290,26182,32330,298,28412,28299,28010,27312,544,1571,544,291,400,28298,357,39593,38976,28558,33754,412,32578,29899,27021,291,28264,544,14482,545,545,33848,33854,32577,32965,28670,28567,33849,33830,29787,418,33854,26955,28676,31977,28564,286,32328,38965,27778,33865,33759,28558,410,35690,28510,419,300,0,404,295,295,27008,38965,538,376,298,291,28302,28555,26233,27652,28010,292,28096,380,291,38976,38842,28298,39479,29825,27165,39915,27553,39016,28415,493,39832,30077,8563,28264,27172,28006,28480,314,290,544,29826,545,28006,294,32329,26980,14509,30011,374,539,26163,544,28302,28005,495,376,27648,422,407,32333,298,545,26821,28555,299,298,32332,29831,32332,32647,28005,39383,33833,14494,14500,299,26956,438,28008,298,33850,291,413,35690,32577,26824,35691,28006,356,39832,27648,33237,130422,27556,369,28302,28288,295,32966,376,28298,33569,39243,27051,2,96,549,29824,29780,32605,33580,544,18,26183,27669,298,28000,14500,290,36110,376,290,33574,658,28434,18,28555,28108
