name	Streptomycin	Fosfomycin	Sulfonamide	Chloramphenicol	Beta-lactamase (not ESBL or carbapenemase)	Chloramphenicol/Florfenicol	Efflux
ERR2992810							
ERR2992797							
SRR7292872							
SIML_2017_03							
SRR14144389							
SRR3476832							
SRR8293799	aph(3'')-Ib*						
SG19_233_Sal							
SRR7299103							
ERR2992745							
SRR7351354							
Seagull_18_220_S109							
SRR15369634							
SRR14145108							
SRR3476836							
SRR10769917							
SG19_400_Sal							
SRR14144298							
W_1_H11							
SRR14144278							
SRR1645502							
SRR1645495							
MD_7_C1							
MD_6_E8							
MD_6_B8							
SRR7351520							
SRR14144372							
SRR14144489							
SIML_2017_04							
SRR15300017							
ISLHD_2018_14_S103							
SRR3476837							
SG19_238_Sal							
SRR14143755							
ISLHD_2017_10_S81							
ERR2992757							
SRR14145091							
MD_6_H7							
SRR13377290							
ISLHD_2019_19							
SRR7157819							
ISLHD_2019_17							
SRR3476826							
ISLHD_2017_16_S87							
SRR3476801							
SRR8514761							
ISLHD_2018_15_S104							
SIML_2019_05							
ISLHD_2019_20							
SRR14143177							
SG19_116_Sal							
SRR14144443							
SRR14145208							
SRR3476806							
ERR2992780							
ERR2992781							
ERR2992791							
SRR3476816							
ERR2992793							
MD_6_C12							
SRR14144447							
SRR13403796							
SRR7480448							
SRR3476825							
SRR14144544							
SRR3476847							
SRR4419681							
W_1_D11							
ISLHD_2017_9_S80							
SRR14145029							
SRR7157827							
ERR2992777							
ISLHD_2019_23		fosA7.2					
ERR2992762							
SRR1645500							
SRR14144130							
ERR2992804							
SRR15096549							
Seagull_18_89_S8				catA2*			
SRR14144492							
SRR3476813							
SRR3476800							
SRR14145296							
ISLHD_2017_13_S84							
SIML_2017_08		fosA7					
MD_7_A1							
SRR7298405							
MD_6_B12							
MD_6_F8							
SRR14144500							
MD_6_G10							
SRR14144912							
ISLHD_2017_6_S119							
SRR5585070							
MD_6_B10							
SRR14143088							
SIML_2017_16							
SRR14144566							
SRR14144431							
MD_6_D12							
SRR4419677							
SRR4419680							
SRR14145369							
ISLHD_2019_25					blaTEM-1*		
SRR3476846							
SIML_2017_06							
SRR4419692							
SRR14255524							
SRR3476840							
ISLHD_2019_26							
MD_6_C10							
SRR7480358							
SRR4419667							
SRR14145100							
SRR3476838							
SRR14144428							
ISLHD_2017_15_S86							
SRR14144450							
SRR7457931							
ISLHD_2019_07		fosA7					
ISLHD_2018_7_S96							
SRR6310288							
MD_7_B1							
